"strataID","YEAR","BpS_Code","SCLASS","BPS_LLID","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2011_Na0710412_fmh_Na0710412_fmh_WEC",2011,"Na0710412_fmh","A","Na0710412_fmh_WEC","A",1.12829515938788,91441.2159018965,0.000387482743792611,301494492.305844,49,9487,628993.674984818,92783.0934986322,79438.9926838293,106127.194313435,0
"2011_Na0710412_fmh_Na0710412_fmh_WEC",2011,"Na0710412_fmh","B","Na0710412_fmh_WEC","B",1.87076696082926,151613.878818846,0.00105919594713345,777430715.467303,43,9487,628993.674984818,142726.454311726,126844.234445662,158608.66222691,0
"2011_Na0710412_fmh_Na0710412_fmh_WEC",2011,"Na0710412_fmh","C","Na0710412_fmh_WEC","C",1.6970653090382,114589.470164743,0.000873328004578197,688436421.405135,41,9487,628993.674984818,100280.046467004,85970.617108322,114589.470164743,0
"2011_Na0710412_fmh_Na0710412_fmh_WEC",2011,"Na0710412_fmh","D","Na0710412_fmh_WEC","D",1.4517543163452,39894.6509526003,0.000642081575065748,489512674.035728,44,9487,628993.674984818,30986.4129247853,22078.175525964,39894.6509526003,7.27595761418343e-12
"2011_Na0710412_fmh_Na0710412_fmh_WEC",2011,"Na0710412_fmh","E","Na0710412_fmh_WEC","E",1.61328494243167,231454.459146732,0.000788045928950762,818788508.735986,27,9487,628993.674984818,262217.664637701,245188.018155895,279247.335650261,-13733.5590091631
"2011_Na1010471_frn_Na1010471_frn_17010214",2011,"Na1010471_frn","A",NA,NA,0,1179.99328099888,NA,NA,NA,NA,12485.3892973309,1509.07481937249,1257.78662036323,1760.36314323564,-77.7933393643441
"2011_Na1010471_frn_Na1010471_frn_17010214",2011,"Na1010471_frn","B","Na1010471_frn_17010214","B",0.146778357454142,4719.75281930137,2.21906627399024e-05,35364607.4625135,1,5856,12485.3892973309,4360.59832302597,4001.44381426518,4719.75281930137,0
"2011_Na1010471_frn_Na1010471_frn_17010214",2011,"Na1010471_frn","C",NA,NA,0,443.860808412839,NA,NA,NA,NA,12485.3892973309,618.300899425291,443.860808412839,792.741002923132,0
"2011_Na1010471_frn_Na1010471_frn_17010214",2011,"Na1010471_frn","D",NA,NA,0,941.286059427409,NA,NA,NA,NA,12485.3892973309,1166.4169808117,941.286059427409,1391.54788971059,0
"2011_Na1010471_frn_Na1010471_frn_17010214",2011,"Na1010471_frn","E","Na1010471_frn_17010214","E",0.161872068977359,5200.49632919039,2.67469525109045e-05,41375231.6863928,1,5856,12485.3892973309,4830.99844949089,4461.500107832,5200.49632919039,0
"2011_Na1010471_frn_Na1010471_frn_17010215",2011,"Na1010471_frn","A","Na1010471_frn_17010215","A",0.162785461066114,8971.84055813904,9.99617689570503e-06,48635710.1220205,2,9144,63632.8490018571,7691.1282321139,6410.41654241726,8971.84055813904,0
"2011_Na1010471_frn_Na1010471_frn_17010215",2011,"Na1010471_frn","B","Na1010471_frn_17010215","B",0.814562185473093,24054.6218723751,0.000124989815986772,40481903.4673481,4,3288,63632.8490018571,22224.1604197461,20393.6989034843,24054.6218723751,0
"2011_Na1010471_frn_Na1010471_frn_17010215",2011,"Na1010471_frn","C","Na1010471_frn_17010215","C",0.723259116515367,4040.27197993517,9.92711185384221e-05,34020104.3103504,4,3288,63632.8490018571,3151.22314842461,2262.1743805469,4040.27197993517,0
"2011_Na1010471_frn_Na1010471_frn_17010215",2011,"Na1010471_frn","D",NA,NA,0,4797.3445008961,NA,NA,NA,NA,63632.8490018571,5944.74339931554,4797.3445008961,7092.14223410213,0
"2011_Na1010471_frn_Na1010471_frn_17010215",2011,"Na1010471_frn","E","Na1010471_frn_17010215","E",0.204469670883707,21768.7700905117,8.97030878193318e-06,12388631.6374949,1,3288,63632.8490018571,24621.5946931168,22738.4149522782,26504.7720795401,-969.644861766483
"2011_Na1010471_frn_Na1010471_frn_17010216",2011,"Na1010471_frn","A","Na1010471_frn_17010216","A",0.769143378004699,36892.4722396034,0.000182019103380509,196717762.044466,36,9487,261660.14655691,31626.1454888525,26359.8213547029,36892.4722396034,0
"2011_Na1010471_frn_Na1010471_frn_17010216",2011,"Na1010471_frn","B","Na1010471_frn_17010216","B",1.27257505171898,89585.172080271,0.000563215223131653,217748479.328257,39,9144,261660.14655691,91386.4012652543,83859.4896759606,98913.3125928879,0
"2011_Na1010471_frn_Na1010471_frn_17010216",2011,"Na1010471_frn","C","Na1010471_frn_17010216","C",1.24523847574875,21954.6495305958,0.000540073134279196,262387474.064385,40,9144,261660.14655691,12957.9222647449,9302.12758403942,16613.7172071104,5340.93232348538
"2011_Na1010471_frn_Na1010471_frn_17010216",2011,"Na1010471_frn","D","Na1010471_frn_17010216","D",0.138986722786786,19726.8216790329,4.46092443458417e-06,8394941.93809566,2,3288,261660.14655691,24444.9596946811,19726.8216790329,29163.0974486693,0
"2011_Na1010471_frn_Na1010471_frn_17010216",2011,"Na1010471_frn","E","Na1010471_frn_17010216","E",0.598359211124816,93501.031027407,6.93224382204101e-05,34901352.237381,9,3288,261660.14655691,101244.721506619,93501.031027407,108988.402304407,0
"2011_Na1010471_frn_Na1010471_frn_17010305",2011,"Na1010471_frn","A","Na1010471_frn_17010305","A",0.178039379173222,1521.27762912715,3.24402927984033e-05,42779617.9777819,1,5856,7201.96950619185,870.482335220901,725.531312595001,1015.4334298665,505.844199260654
