"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,79263.096717069,"2005_RaABAMlw_fsi"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,502.532079742959,"2005_RaABAMlw_fsi"
"RaDFHEdy_fwi",4,"D","C","Overstory removal","None",1,0,0,1897.61821366284,"2005_RaDFHEdy_fwi"
"RaDFHEdy_fwi",8,"D","A","Regen / high fire","None",1,0,0,1780.50968102528,"2005_RaDFHEdy_fwi"
"RaDFHEdy_fwi",15,"D","E","Grow w/o fire","None",0,0,1,22381.9029276758,"2005_RaDFHEdy_fwi"
"RaDFHEdy_fwi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,6287.60857895915,"2005_RaDFHEdy_fwi"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1236680.43891591,"2005_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,1.09139364212751e-10,"2005_RaMCONdy_fdd"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,75261.7622387421,"2005_RaMCONdy_fdd"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,226246.10634621,"2005_RaMCONdy_fdd"
"RaMCONdy_fmd",2,"E","D","Thin / low fire","None",1,0,0,20227.0829960586,"2005_RaMCONdy_fmd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,427364.201604988,"2005_RaMCONdy_fmd"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,97741.508433442,"2005_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,8146.10408699338,"2005_RaMCONdy_fmd"
"RaMCONms_fcm",12,"A","B","Grow w/o fire","None",0,0,1,33897.454453878,"2005_RaMCONms_fcm"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,69306.4483880154,"2005_RaMCONms_fcm"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,20873.0321047672,"2005_RaMCONms_fcm"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,107632.067294541,"2005_RaMCONms_fmm"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,40250.9276671514,"2005_RaMCONms_fmm"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,44874.0117668739,"2005_RaMCONms_fmm"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,291453.861249548,"2005_RaMCONms_fmm"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4180.86965982657,"2005_RaPIPOm_fpd"
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,58090.5706780235,"2005_RaPIPOm_fpd"
"RaPIPOm_fpd",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,130.745099904409,"2005_RaPIPOm_fpd"
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,8133.50945309093,"2005_RaSAWD_fal"
"RaSAWD_fal",6,"A","B","Grow w/o fire","Grow w/o fire",0,0,1,23193.8758956162,"2005_RaSAWD_fal"
"RaSPFI_fcd",1,"A","B","Regen / high fire","None",1,0,0,103500.331633208,"2005_RaSPFI_fcd"
"RaSPFI_fcd",15,"D","C","Grow w/o fire","None",0,0,1,89924.5665036075,"2005_RaSPFI_fcd"
"RaSPFI_fcd",17,"A","C","Grow w/o fire","Grow w/o fire",0,0,1,1761.00187509289,"2005_RaSPFI_fcd"
"RaSPFI_fcd",18,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,31144.6628157482,"2005_RaSPFI_fcd"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,4285.5566631273,"2006_Na0710412_fmh"
"Na0710412_fmh",10,"B","E","Grow w/o fire","None",0,0,1,63532.2212422705,"2006_Na0710412_fmh"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,159570.539177044,"2006_Na0710412_fmh"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,10827.2953106103,"2006_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,17629.352163161,"2006_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,185188.92601083,"2006_Na1010471_frn"
"RaABAMlw_fsi",11,"C","D","Grow w/ fire","None",0,0,1,16679.1721154302,"2006_RaABAMlw_fsi"
"RaABAMlw_fsi",12,"A","B","Grow w/o fire","None",0,0,1,23627.0257720956,"2006_RaABAMlw_fsi"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,11405.1776790405,"2006_RaABAMlw_fsi"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,61086.012974849,"2006_RaABAMlw_fsi"
"RaABLA_faf",1,"B","A","Regen / high fire","None",1,0,0,4416.73751078192,"2006_RaABLA_faf"
"RaABLA_faf",7,"B","C","Thin / low fire","None",1,0,0,106.382688037357,"2006_RaABLA_faf"
"RaABLA_faf",10,"B","E","Grow w/o fire","None",0,0,1,19433.6108784759,"2006_RaABLA_faf"
"RaABLA_faf",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,546.568504985032,"2006_RaABLA_faf"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,655923.048862909,"2006_RaMCONdy_fdd"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,294380.545561681,"2006_RaMCONdy_fdd"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,305499.023692364,"2006_RaMCONdy_fdd"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,81271.7373225135,"2006_RaMCONdy_fdd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,370845.288621038,"2006_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,34100.8916948942,"2006_RaMCONdy_fmd"
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,32301.2792100933,"2006_RaMCONms_fcm"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,7506.26478401612,"2006_RaMCONms_fcm"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,115381.264096749,"2006_RaMCONms_fcm"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,6998.74729220077,"2006_RaMCONms_fmm"
"RaMCONms_fmm",12,"A","B","Grow w/o fire","None",0,0,1,25085.7925272628,"2006_RaMCONms_fmm"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,271615.323527264,"2006_RaMCONms_fmm"
"RaPIPOm_fpd",11,"C","D","Grow w/ fire","None",0,0,1,67288.6118192888,"2006_RaPIPOm_fpd"
"RaPIPOm_fpd",12,"A","B","Grow w/o fire","None",0,0,1,2826.60702669196,"2006_RaPIPOm_fpd"
"RaPIPOm_fpd",14,"C","B","Grow w/o fire","None",0,0,1,13914.4071839637,"2006_RaPIPOm_fpd"
"RaPIPOm_fpd",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,5236.8514796938,"2006_RaPIPOm_fpd"
"RaSAWD_fal",1,"B","C","Thin / low fire","None",1,0,0,134438.885190834,"2006_RaSAWD_fal"
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,43473.9455063156,"2006_RaSAWD_fal"
"RaSPFI_fcd",15,"D","C","Grow w/o fire","None",0,0,1,67138.9455224147,"2006_RaSPFI_fcd"
"RaSPFI_fcd",17,"A","C","Grow w/o fire","Grow w/o fire",0,0,1,59738.3804703353,"2006_RaSPFI_fcd"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,1775.66003082538,"2007_Na0710412_fmh"
"Na0710412_fmh",2,"C","A","Regen / high fire","None",1,0,0,10521.8392365163,"2007_Na0710412_fmh"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,178816.028839308,"2007_Na0710412_fmh"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,70600.3210070592,"2007_Na0710412_fmh"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,49354.0735393718,"2007_Na1010471_frn"
"Na1010471_frn",12,"A","B","Grow w/o fire","None",0,0,1,100896.92084347,"2007_Na1010471_frn"
"Na1010471_frn",14,"C","B","Grow w/o fire","None",0,0,1,34545.0049846101,"2007_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,136328.318239903,"2007_Na1010471_frn"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,17707.7158560745,"2007_RaABAMlw_fsi"
"RaABAMlw_fsi",11,"C","D","Grow w/ fire","None",0,0,1,17625.6387334404,"2007_RaABAMlw_fsi"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,131529.553034572,"2007_RaABAMlw_fsi"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,3582.60601524964,"2007_RaABAMlw_fsi"
"RaDFHEdy_fwi",2,"E","D","Thin / low fire","None",1,0,0,6544.95178845417,"2007_RaDFHEdy_fwi"
"RaDFHEdy_fwi",5,"E","C","Overstory removal","None",1,0,0,2271.22115265939,"2007_RaDFHEdy_fwi"
"RaDFHEdy_fwi",9,"E","A","Regen / high fire","None",1,0,0,2131.05630044187,"2007_RaDFHEdy_fwi"
"RaDFHEdy_fwi",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,7525.51250897299,"2007_RaDFHEdy_fwi"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1287275.4240388,"2007_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,60536.5937312198,"2007_RaMCONdy_fdd"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,52577.80178147,"2007_RaMCONdy_fdd"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,72991.4949476414,"2007_RaMCONdy_fdd"
"RaMCONdy_fmd",1,"B","C","Thin / low fire","None",1,0,0,12361.1202450749,"2007_RaMCONdy_fmd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,441056.555191771,"2007_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,100960.815555841,"2007_RaMCONdy_fmd"
"RaMCONdy_fmd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,107432.790008557,"2007_RaMCONdy_fmd"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,42415.2365040618,"2007_RaMCONms_fcm"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,63323.4782180112,"2007_RaMCONms_fcm"
"RaMCONms_fcm",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,67494.1874983461,"2007_RaMCONms_fcm"
"RaMCONms_fcm",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,23154.5518578316,"2007_RaMCONms_fcm"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,3406.23155053082,"2007_RaMCONms_fmm"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,61039.0738138199,"2007_RaMCONms_fmm"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,8623.87057723344,"2007_RaMCONms_fmm"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,212714.828167593,"2007_RaMCONms_fmm"
"RaPIPOm_fpd",10,"A","C","Grow w/ fire","None",0,0,1,40537.1395173007,"2007_RaPIPOm_fpd"
"RaPIPOm_fpd",12,"A","B","Grow w/o fire","None",0,0,1,9378.27815741129,"2007_RaPIPOm_fpd"
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,16123.6637381411,"2007_RaPIPOm_fpd"
"RaPIPOm_fpd",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2933.67231086628,"2007_RaPIPOm_fpd"
"RaSAWD_fal",4,"C","B","Grow w/o fire","None",0,0,1,39627.6293707318,"2007_RaSAWD_fal"
"RaSPFI_fcd",1,"A","B","Regen / high fire","None",1,0,0,32515.733700115,"2007_RaSPFI_fcd"
"RaSPFI_fcd",6,"D","B","Regen / high fire","None",1,0,0,5731.69789819539,"2007_RaSPFI_fcd"
"RaSPFI_fcd",8,"E","B","Regen / high fire","None",1,0,0,24598.0699814474,"2007_RaSPFI_fcd"
"Na0710412_fmh",5,"D","C","Overstory removal","None",1,0,0,34255.655627455,"2008_Na0710412_fmh"
"Na0710412_fmh",9,"A","B","Grow w/o fire","None",0,0,1,17228.077673774,"2008_Na0710412_fmh"
"Na0710412_fmh",12,"A","C","Grow w/ fire","None",0,0,1,70129.6223497899,"2008_Na0710412_fmh"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,37836.7021744078,"2008_Na1010471_frn"
"Na1010471_frn",12,"A","B","Grow w/o fire","None",0,0,1,50565.3618445932,"2008_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,69802.9570172972,"2008_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,109535.140196014,"2008_Na1010471_frn"
"RaABAMlw_fsi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,585.42045639346,"2008_RaABAMlw_fsi"
"RaABAMlw_fsi",13,"B","E","Grow w/o fire","None",0,0,1,10474.6038308933,"2008_RaABAMlw_fsi"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,11598.4574157414,"2008_RaABAMlw_fsi"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,29198.6857918616,"2008_RaABAMlw_fsi"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,868146.920849015,"2008_RaMCONdy_fdd"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,240326.566558177,"2008_RaMCONdy_fdd"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,77177.3126095108,"2008_RaMCONdy_fdd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,555898.287051541,"2008_RaMCONdy_fmd"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,19248.2168765536,"2008_RaMCONdy_fmd"
"RaMCONdy_fmd",13,"B","E","Grow w/o fire","None",0,0,1,7.27595761418343e-12,"2008_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,73050.7703417143,"2008_RaMCONdy_fmd"
"RaMCONdy_fmd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,132898.777009534,"2008_RaMCONdy_fmd"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,8516.59822848024,"2008_RaMCONms_fcm"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,51590.3318894673,"2008_RaMCONms_fcm"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,40473.8786462695,"2008_RaMCONms_fcm"
"RaMCONms_fmm",2,"E","D","Thin / low fire","None",1,0,0,22238.5963836899,"2008_RaMCONms_fmm"
"RaMCONms_fmm",12,"A","B","Grow w/o fire","None",0,0,1,6049.69894303361,"2008_RaMCONms_fmm"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,100722.845512273,"2008_RaMCONms_fmm"
"RaMCONms_fmm",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,5892.92938172651,"2008_RaMCONms_fmm"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,2807.92745015988,"2008_RaPIPOm_fpd"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,91797.3154710504,"2008_RaPIPOm_fpd"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,75092.960543621,"2008_RaPIPOm_fpd"
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,51673.5298483547,"2008_RaPIPOm_fpd"
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,56437.5409013758,"2008_RaSAWD_fal"
"RaSAWD_fal",6,"A","B","Grow w/o fire","Grow w/o fire",0,0,1,42275.1512744731,"2008_RaSAWD_fal"
"RaSPFI_fcd",1,"A","B","Regen / high fire","None",1,0,0,52964.0981127914,"2008_RaSPFI_fcd"
"RaSPFI_fcd",4,"C","B","Regen / high fire","None",1,0,0,83049.9306749251,"2008_RaSPFI_fcd"
"RaSPFI_fcd",14,"C","E","Grow w/o fire","None",0,0,1,7194.42473991675,"2008_RaSPFI_fcd"
"RaSPFI_fcd",16,"D","E","Grow w/o fire","None",0,0,1,138.963968521624,"2008_RaSPFI_fcd"
"Na0710412_fmh",5,"D","C","Overstory removal","None",1,0,0,177004.167690898,"2009_Na0710412_fmh"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,114829.371267677,"2009_Na0710412_fmh"
"Na0710412_fmh",18,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,99202.9346756879,"2009_Na0710412_fmh"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,18803.3461889017,"2009_Na1010471_frn"
"Na1010471_frn",14,"C","B","Grow w/o fire","None",0,0,1,13920.9553832515,"2009_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,98330.4015850361,"2009_Na1010471_frn"
"RaABAMlw_fsi",6,"B","A","Regen / high fire","None",1,0,0,17076.1346842573,"2009_RaABAMlw_fsi"
"RaABAMlw_fsi",13,"B","E","Grow w/o fire","None",0,0,1,7490.71164178928,"2009_RaABAMlw_fsi"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,133687.895243681,"2009_RaABAMlw_fsi"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,32566.0561654421,"2009_RaABAMlw_fsi"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,938818.878143635,"2009_RaMCONdy_fdd"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,70984.1676486174,"2009_RaMCONdy_fdd"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,60072.1392471187,"2009_RaMCONdy_fdd"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,68630.5730748659,"2009_RaMCONdy_fdd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,360479.722167902,"2009_RaMCONdy_fmd"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,101724.473013327,"2009_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,323572.658251853,"2009_RaMCONdy_fmd"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,20085.5172896599,"2009_RaMCONms_fcm"
