"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"both",2.46949391902273,2019,"RaMCONdy_fdd","RaMCONdy_fdd_1706010706",1361.68080128605,0.001813563
"passive",660.450665855331,2019,"RaMCONdy_fdd","RaMCONdy_fdd_1706010706",1361.68080128605,0.485026054
"active",3313.19867396309,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1701030701",8196.25285179802,0.404233341
"both",3134.60710273783,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1701030701",8196.25285179802,0.382443924
"passive",840.789075556015,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1701030701",8196.25285179802,0.10258213
"passive",7690.02343546599,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000502",15795.8045461735,0.486839617
"both",1626.60505198087,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000505",23420.9890811562,0.0694507412280714
"passive",9733.18486282943,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000505",23420.9890811562,0.415575312771929
"both",6156.24218909588,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000622",41349.8962169192,0.148881684171602
"passive",5130.48425835197,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000622",41349.8962169192,0.124074900489175
"active",5538.97413624948,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000901",7040.97395804299,0.786677265
"both",12.7692498542703,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000901",7040.97395804299,0.001813563
"both",1260.82199919946,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000902",58265.2539619619,0.0216393461534137
"passive",25388.3653742492,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000902",58265.2539619619,0.435737659202925
"passive",21472.8544176425,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702000903",44106.6290988444,0.486839617
"active",3299.50669176031,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001001",9588.02770121931,0.344127780454859
"both",521.041179823668,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001001",9588.02770121931,0.0543428947078873
"passive",2603.53748927353,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001001",9588.02770121931,0.271540463837254
"active",1780.7338943924,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001002",54533.1677845484,0.0326541436475465
"both",860.513714191012,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001002",54533.1677845484,0.0157796392388346
"passive",18253.268113656,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001002",54533.1677845484,0.334718646563348
"active",1672.69735662769,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001003",38680.1498646148,0.0432443349491234
"both",3370.37295959109,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001003",38680.1498646148,0.0871344338475371
"passive",8017.41375939777,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001003",38680.1498646148,0.207274630203339
"both",7.32489861320079,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001004",4038.95459556729,0.001813563
"passive",1958.99820977317,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001004",4038.95459556729,0.485026054
"active",505.274177352029,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001103",1249.95671089889,0.404233341
"both",478.038349346305,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001103",1249.95671089889,0.382443924
"passive",128.223221811802,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001103",1249.95671089889,0.10258213
"active",153.033100836269,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001104",1311.71837176002,0.116666126
"both",2.37888390544422,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001104",1311.71837176002,0.001813563
"passive",636.217585814068,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001104",1311.71837176002,0.485026054
"both",1567.19545077493,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001105",16068.9735253893,0.0975292820228202
"passive",2532.64312585737,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001105",16068.9735253893,0.157610759757351
"active",854.142898132776,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001106",24604.0521569657,0.034715537614846
"both",3430.28044682305,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001106",24604.0521569657,0.139419329179559
"passive",8503.32588328023,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001106",24604.0521569657,0.345606724820441
"active",9012.10653587814,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001107",34174.5168120486,0.263708382050945
"both",4993.92374825217,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001107",34174.5168120486,0.146130047008931
"passive",4145.33480454558,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1702001107",34174.5168120486,0.121299002626545
"active",3712.48605791135,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000101",9184.01745073114,0.404233341
"both",3512.37167194209,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000101",9184.01745073114,0.382443924
"passive",942.11607205317,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000101",9184.01745073114,0.10258213
"active",5208.18249522158,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000102",37171.7198090419,0.140111421316447
"both",10987.0156932174,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000102",37171.7198090419,0.295574585993323
"passive",7042.23688615587,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000102",37171.7198090419,0.189451468006677
"active",2796.04440926465,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000103",25499.2675896839,0.10965194978368
"both",9752.03995612473,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000103",25499.2675896839,0.382443924
"passive",2615.76918278974,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000103",25499.2675896839,0.10258213
"active",10912.8897521223,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000104",33849.1195679774,0.322398038454339
"both",2826.67536406241,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000104",33849.1195679774,0.0835080912041374
"passive",2620.23600784796,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000104",33849.1195679774,0.0774092809884132
"both",13854.1117928581,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000105",88636.91707914,0.156301823770432
"passive",19079.4920615379,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000105",88636.91707914,0.215254463831393
"active",4569.84926234327,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000106",34087.0762599769,0.134063984469942
"both",8280.81838855781,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000106",34087.0762599769,0.242931318761436
"passive",8252.30170221586,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000106",34087.0762599769,0.242094735238564
"both",19101.6890478671,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000202",54402.458321001,0.351118122919332
"passive",5171.50346774165,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000202",54402.458321001,0.0950601062405538
"both",8896.39830563291,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000203",36103.4207795637,0.246414276363217
"passive",5470.51411673548,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000203",36103.4207795637,0.151523429043933
"active",1586.33604854711,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000301",16723.4499859186,0.094856985244243
"both",2310.94821775975,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000301",16723.4499859186,0.138186093162931
"passive",1715.527120504,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000301",16723.4499859186,0.10258213
"active",1433.65956879146,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000303",12288.5675383741,0.116666126
"both",4699.68798971481,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000303",12288.5675383741,0.382443924
"passive",1260.58743273527,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000303",12288.5675383741,0.10258213
"both",4580.61935636046,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000306",58096.8753539255,0.0788445046046861
"passive",16463.3410876798,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000306",58096.8753539255,0.283377393145248
"passive",19080.9561862025,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000307",39193.5157286152,0.486839617
"active",11183.8770372205,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000308",32324.6963762573,0.345985524722054
"both",58.6228733342143,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000308",32324.6963762573,0.001813563
"passive",4949.70378736813,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1703000308",32324.6963762573,0.153124525277946
"passive",5358.76268952505,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1706010901",6919.82878777734,0.774406832
"active",3753.41261981278,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010111",9773.29086450471,0.384047980547133
"passive",1002.56499399043,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010111",9773.29086450471,0.10258213
"passive",123.593689125918,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010112",159.597880621381,0.774406832
"active",578.245877323705,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010113",36504.8678010202,0.0158402402790662
"both",5536.00881274666,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010113",36504.8678010202,0.15165124944219
"passive",6211.73800298974,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010113",36504.8678010202,0.170161909278744
"active",33564.3844404435,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010508",96380.3898288999,0.348249104408365
"both",6375.61316748647,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010508",96380.3898288999,0.0661505227236042
"passive",10590.7624578254,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010508",96380.3898288999,0.109885034462163
"active",3301.18753643464,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010509",4196.36829905671,0.786677265
"both",7.61037828154218,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010509",4196.36829905671,0.001813563
"passive",4961.62478660435,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010511",6407.00027631516,0.774406832
"active",31687.4435548868,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010601",88706.5022144014,0.357216695099746
"passive",10701.6915981774,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010601",88706.5022144014,0.120641568893244
"active",1560.73251835316,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010602",130381.025068344,0.0119705495300029
"both",14556.9177861197,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010602",130381.025068344,0.111649051527929
"passive",12978.4064393071,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010602",130381.025068344,0.0995421414466102
"active",2208.75084834202,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010603",58934.3888712078,0.0374781327277171
"both",22539.0989384466,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010603",58934.3888712078,0.382443924
"passive",6045.61514065679,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010603",58934.3888712078,0.10258213
"active",17746.0186953161,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010604",85774.1988532784,0.206892269849954
"both",18642.852445625,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010604",85774.1988532784,0.217348021839465
"passive",10146.578361766,2019,"RaMCONdy_fmd","RaMCONdy_fmd_1707010604",85774.1988532784,0.118294061587475
"both",8667.79038593172,2019,"RaMCONms_fcm","RaMCONms_fcm_17060103",39109.3895754402,0.221629395907905
"passive",9076.13537516802,2019,"RaMCONms_fcm","RaMCONms_fcm_17060103",39109.3895754402,0.232070494418241
"both",32334.8677791778,2019,"RaMCONms_fcm","RaMCONms_fcm_17060106",77860.2784430697,0.415293503
"both",16333.0416405809,2019,"RaMCONms_fcm","RaMCONms_fcm_17060107",70711.6242077451,0.230980999567988
"passive",17564.448110593,2019,"RaMCONms_fcm","RaMCONms_fcm_17060107",70711.6242077451,0.248395483873911
"both",33589.3778622665,2019,"RaMCONms_fcm","RaMCONms_fcm_17070102",85021.806863636,0.395067796149516
"passive",12728.8113939955,2019,"RaMCONms_fcm","RaMCONms_fcm_17070102",85021.806863636,0.14971231338815
"active",884.877114233285,2019,"RaMCONms_fmm","RaMCONms_fmm_17010306",7125.34591299256,0.12418725
"both",2959.10986429341,2019,"RaMCONms_fmm","RaMCONms_fmm_17010306",7125.34591299256,0.415293503
"passive",1744.27221014523,2019,"RaMCONms_fmm","RaMCONms_fmm_17010306",7125.34591299256,0.24479825
"active",2322.17206671661,2019,"RaMCONms_fmm","RaMCONms_fmm_17020009",70537.4075981548,0.0329211427778267
"both",28627.4088989174,2019,"RaMCONms_fmm","RaMCONms_fmm_17020009",70537.4075981548,0.405847193336125
"passive",1256.36349226038,2019,"RaMCONms_fmm","RaMCONms_fmm_17020009",70537.4075981548,0.017811308000115
"passive",17585.4603432053,2019,"RaMCONms_fmm","RaMCONms_fmm_17020010",32689.4732279344,0.537954840097511
"both",14691.2443498455,2019,"RaMCONms_fmm","RaMCONms_fmm_17020011",159510.633699342,0.0921019747030581
"passive",13839.874033373,2019,"RaMCONms_fmm","RaMCONms_fmm_17020011",159510.633699342,0.0867645856103835
"both",13901.5757023887,2019,"RaMCONms_fmm","RaMCONms_fmm_17030001",145538.236380844,0.0955183740581484
"passive",10320.0600382059,2019,"RaMCONms_fmm","RaMCONms_fmm_17030001",145538.236380844,0.0709096131356188
"both",22320.2922377674,2019,"RaMCONms_fmm","RaMCONms_fmm_17030002",113768.400290848,0.196190613392698
"passive",4282.92888679563,2019,"RaMCONms_fmm","RaMCONms_fmm_17030002",113768.400290848,0.0376460324294476
"active",1495.92010860955,2019,"RaMCONms_fmm","RaMCONms_fmm_17030003",12045.6818925417,0.12418725
"both",5002.49342917731,2019,"RaMCONms_fmm","RaMCONms_fmm_17030003",12045.6818925417,0.415293503
"passive",2948.7618473509,2019,"RaMCONms_fmm","RaMCONms_fmm_17030003",12045.6818925417,0.24479825
"active",849.692204471654,2019,"RaMCONms_fmm","RaMCONms_fmm_17070105A",97124.2175527798,0.00874851016441815
"both",17196.2957238369,2019,"RaMCONms_fmm","RaMCONms_fmm_17070105A",97124.2175527798,0.177054664193222
"active",2759.57326174488,2019,"RaMCONms_fmm","RaMCONms_fmm_17070106",98512.9418261863,0.0280122916907081
"both",348.602206696336,2019,"RaMCONms_fmm","RaMCONms_fmm_17070106",98512.9418261863,0.003538643758212
"passive",23481.9471162316,2019,"RaMCONms_fmm","RaMCONms_fmm_17070106",98512.9418261863,0.238364083753204
"passive",448.145462399076,2019,"RaOAPI_fop","RaOAPI_fop_1707010113",672.663305334034,0.666225523
"passive",220.017935119933,2019,"RaPIPOm_fdp","RaPIPOm_fdp_1706010607",272.770829023073,0.806603609
"active",1967.84663501581,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030504",4557.47897756498,0.431784029
"both",1787.85603954442,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030504",4557.47897756498,0.392290573
"passive",77.8054634041484,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030504",4557.47897756498,0.01707204
"passive",4798.4280042477,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030602",5948.92949982784,0.806603609
"active",10653.9379334849,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030603",35219.5249487317,0.302500898265765
"both",1922.11966188701,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030603",35219.5249487317,0.0545754
"active",19394.1057263657,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030701",48911.4392455294,0.396514721822224
"both",4084.69413683193,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030701",48911.4392455294,0.0835120413514571
"passive",6040.07972557574,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030701",48911.4392455294,0.123490124575057
"active",6570.44276164577,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030702",27611.8774889547,0.237957116978882
"both",4343.10035601304,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030702",27611.8774889547,0.157291019335804
"passive",2544.29983063152,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030702",27611.8774889547,0.0921451223897863
"active",8272.45619476377,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030703",35355.9295619159,0.233976487035277
"both",1929.56399821338,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030703",35355.9295619159,0.0545754
"active",645.619139130531,2019,"RaPIPOm_fpd","RaPIPOm_fpd_1701030704",10211.92407081,0.0632220857356335
