"PLT_CN","CONDID","sclass"
8634943010901,1,"E"
8635058010901,1,"E"
8635221010901,1,"E"
8635467010901,1,"E"
8635467010901,2,"A"
8635734010901,1,"B"
8635925010901,1,"E"
8636114010901,1,"B"
8636345010901,1,"E"
8636584010901,1,"B"
8636584010901,2,"E"
8636800010901,2,"B"
8636845010901,1,"E"
8637011010901,1,"C"
8637011010901,2,"C"
8637097010901,1,"E"
8637349010901,1,"B"
8637444010901,1,"E"
8637511010901,1,"E"
8637698010901,1,"A"
8637815010901,2,"C"
8637978010901,1,"E"
8638171010901,1,"B"
8638262010901,1,"E"
8638262010901,2,"B"
8638476010901,1,"E"
8638626010901,1,"B"
8638793010901,1,"E"
8639025010901,1,"A"
8639187010901,1,"B"
8639371010901,1,"B"
8639460010901,1,"B"
8639537010901,1,"E"
8639642010901,1,"E"
8639642010901,2,"B"
8639803010901,1,"B"
8639890010901,1,"E"
8639972010901,1,"B"
8640100010901,1,"B"
8640253010901,1,"B"
8640367010901,1,"B"
8640454010901,1,"B"
8640526010901,1,"B"
8640632010901,1,"B"
8640738010901,1,"B"
8640902010901,1,"B"
8640982010901,1,"B"
8640982010901,2,"B"
8641090010901,1,"B"
8641306010901,1,"B"
8641507010901,2,"B"
8641564010901,1,"B"
8641738010901,1,"B"
8641867010901,1,"B"
8642058010901,1,"B"
8642232010901,1,"B"
8642354010901,2,"B"
8642449010901,1,"B"
8642561010901,1,"B"
8642660010901,1,"B"
8642760010901,1,"E"
8642882010901,1,"E"
8642989010901,1,"E"
8643101010901,1,"E"
8643207010901,1,"B"
8643455010901,1,"E"
8643546010901,1,"E"
8643642010901,1,"B"
8643807010901,1,"E"
8644086010901,1,"C"
8644227010901,1,"E"
8644549010901,1,"A"
8644749010901,1,"A"
8644749010901,2,"B"
8644857010901,1,"E"
8645096010901,1,"B"
8645176010901,1,"B"
8645269010901,1,"B"
8645459010901,2,"A"
8645876010901,2,"B"
8645944010901,1,"E"
8646141010901,1,"B"
8646230010901,1,"B"
8646314010901,1,"E"
8646439010901,1,"B"
8646583010901,2,"E"
8646764010901,1,"B"
8646897010901,1,"B"
8647117010901,1,"B"
8647276010901,1,"B"
8647276010901,2,"B"
8647455010901,1,"E"
