"SPCD","species","location","BF","variant"
119,"WP","610",1.081,"WC"
119,"WP","708",1.081,"WC"
119,"WP","710",1.081,"WC"
119,"WP","711",1.081,"WC"
119,"WP","709",1.081,"WC"
122,"PP","603",1,"WC"
122,"PP","605",1,"WC"
122,"PP","613",1.035,"WC"
122,"PP","618",1.07,"WC"
122,"PP","606",1,"WC"
122,"PP","610",0.918,"WC"
122,"PP","708",1,"WC"
122,"PP","710",0.918,"WC"
122,"PP","711",0.918,"WC"
122,"PP","709",1.07,"WC"
202,"DF","603",1,"WC"
202,"DF","605",1.019,"WC"
202,"DF","613",1.055,"WC"
202,"DF","618",1,"WC"
202,"DF","606",1,"WC"
202,"DF","610",1,"WC"
202,"DF","708",1,"WC"
202,"DF","710",1,"WC"
202,"DF","711",1,"WC"
202,"DF","709",1,"WC"
242,"RC","603",0.92,"WC"
242,"RC","605",0.973,"WC"
242,"RC","613",1.049,"WC"
242,"RC","618",1,"WC"
242,"RC","606",1.115,"WC"
242,"RC","610",1,"WC"
242,"RC","708",1.115,"WC"
242,"RC","710",1,"WC"
242,"RC","711",1,"WC"
242,"RC","709",1,"WC"
263,"WH","603",1.028,"WC"
263,"WH","605",1,"WC"
263,"WH","613",1.106,"WC"
263,"WH","618",1.087,"WC"
263,"WH","606",1.26,"WC"
263,"WH","610",1,"WC"
263,"WH","708",1.26,"WC"
263,"WH","710",1,"WC"
263,"WH","711",1,"WC"
263,"WH","709",1.087,"WC"
264,"MH","603",1.077,"WC"
264,"MH","605",1,"WC"
264,"MH","613",1,"WC"
264,"MH","618",1,"WC"
264,"MH","606",1.106,"WC"
264,"MH","610",0.9,"WC"
264,"MH","708",1.106,"WC"
264,"MH","710",0.9,"WC"
264,"MH","711",0.9,"WC"
264,"MH","709",1,"WC"
351,"RA","603",1,"WC"
351,"RA","605",1,"WC"
351,"RA","613",1,"WC"
351,"RA","618",1,"WC"
351,"RA","606",1,"WC"
351,"RA","610",0.81,"WC"
351,"RA","708",1,"WC"
351,"RA","710",0.81,"WC"
351,"RA","711",0.81,"WC"
351,"RA","709",1,"WC"
20,"RF","603",1,"WC"
20,"RF","605",1,"WC"
20,"RF","613",1,"WC"
20,"RF","618",1,"WC"
20,"RF","606",1,"WC"
20,"RF","610",1,"WC"
20,"RF","708",1,"WC"
20,"RF","710",1,"WC"
20,"RF","711",1,"WC"
20,"RF","709",1,"WC"
211,"RW","603",1,"WC"
211,"RW","605",1,"WC"
211,"RW","613",1,"WC"
211,"RW","618",1,"WC"
211,"RW","606",1,"WC"
211,"RW","610",1,"WC"
211,"RW","708",1,"WC"
211,"RW","710",1,"WC"
211,"RW","711",1,"WC"
211,"RW","709",1,"WC"
312,"BM","603",1,"WC"
312,"BM","605",1,"WC"
312,"BM","613",1,"WC"
312,"BM","618",1,"WC"
312,"BM","606",1,"WC"
312,"BM","610",1,"WC"
312,"BM","708",1,"WC"
312,"BM","710",1,"WC"
312,"BM","711",1,"WC"
312,"BM","709",1,"WC"
312,"WA","603",1,"WC"
312,"WA","605",1,"WC"
312,"WA","613",1,"WC"
312,"WA","618",1,"WC"
312,"WA","606",1,"WC"
312,"WA","610",1,"WC"
312,"WA","708",1,"WC"
312,"WA","710",1,"WC"
312,"WA","711",1,"WC"
312,"WA","709",1,"WC"
375,"PB","603",1,"WC"
375,"PB","605",1,"WC"
375,"PB","613",1,"WC"
375,"PB","618",1,"WC"
375,"PB","606",1,"WC"
375,"PB","610",1,"WC"
375,"PB","708",1,"WC"
375,"PB","710",1,"WC"
375,"PB","711",1,"WC"
375,"PB","709",1,"WC"
631,"GC","603",1,"WC"
631,"GC","605",1,"WC"
631,"GC","613",1,"WC"
631,"GC","618",1,"WC"
631,"GC","606",1,"WC"
631,"GC","610",1,"WC"
631,"GC","708",1,"WC"
631,"GC","710",1,"WC"
631,"GC","711",1,"WC"
631,"GC","709",1,"WC"
746,"AS","603",1,"WC"
746,"AS","605",1,"WC"
746,"AS","613",1,"WC"
746,"AS","618",1,"WC"
746,"AS","606",1,"WC"
746,"AS","610",1,"WC"
746,"AS","708",1,"WC"
746,"AS","710",1,"WC"
746,"AS","711",1,"WC"
746,"AS","709",1,"WC"
747,"CW","603",1,"WC"
747,"CW","605",1,"WC"
747,"CW","613",1,"WC"
747,"CW","618",1,"WC"
747,"CW","606",1,"WC"
747,"CW","610",1,"WC"
747,"CW","708",1,"WC"
747,"CW","710",1,"WC"
747,"CW","711",1,"WC"
747,"CW","709",1,"WC"
815,"WO","603",1,"WC"
815,"WO","605",1,"WC"
815,"WO","613",1,"WC"
815,"WO","618",1,"WC"
815,"WO","606",1,"WC"
815,"WO","610",1,"WC"
815,"WO","708",1,"WC"
815,"WO","710",1,"WC"
815,"WO","711",1,"WC"
815,"WO","709",1,"WC"
64,"WJ","603",1,"WC"
64,"WJ","605",1,"WC"
64,"WJ","613",1,"WC"
64,"WJ","618",1,"WC"
64,"WJ","606",1,"WC"
64,"WJ","610",1,"WC"
64,"WJ","708",1,"WC"
64,"WJ","710",1,"WC"
64,"WJ","711",1,"WC"
64,"WJ","709",1,"WC"
72,"LL","603",1,"WC"
72,"LL","605",1,"WC"
72,"LL","613",1,"WC"
72,"LL","618",1,"WC"
72,"LL","606",1,"WC"
72,"LL","610",1,"WC"
72,"LL","708",1,"WC"
72,"LL","710",1,"WC"
72,"LL","711",1,"WC"
72,"LL","709",1,"WC"
101,"WB","603",1,"WC"
101,"WB","605",1,"WC"
101,"WB","613",1,"WC"
101,"WB","618",1,"WC"
101,"WB","606",1,"WC"
101,"WB","610",1,"WC"
101,"WB","708",1,"WC"
101,"WB","710",1,"WC"
101,"WB","711",1,"WC"
101,"WB","709",1,"WC"
103,"KP","603",1,"WC"
103,"KP","605",1,"WC"
103,"KP","613",1,"WC"
103,"KP","618",1,"WC"
103,"KP","606",1,"WC"
103,"KP","610",1,"WC"
103,"KP","708",1,"WC"
103,"KP","710",1,"WC"
103,"KP","711",1,"WC"
103,"KP","709",1,"WC"
231,"PY","603",1,"WC"
231,"PY","605",1,"WC"
231,"PY","613",1,"WC"
231,"PY","618",1,"WC"
231,"PY","606",1,"WC"
231,"PY","610",1,"WC"
231,"PY","708",1,"WC"
231,"PY","710",1,"WC"
231,"PY","711",1,"WC"
231,"PY","709",1,"WC"
351,"DG","603",1,"WC"
351,"DG","605",1,"WC"
351,"DG","613",1,"WC"
351,"DG","618",1,"WC"
351,"DG","606",1,"WC"
351,"DG","610",1,"WC"
351,"DG","708",1,"WC"
351,"DG","710",1,"WC"
351,"DG","711",1,"WC"
351,"DG","709",1,"WC"
351,"HT","603",1,"WC"
351,"HT","605",1,"WC"
351,"HT","613",1,"WC"
351,"HT","618",1,"WC"
351,"HT","606",1,"WC"
351,"HT","610",1,"WC"
351,"HT","708",1,"WC"
351,"HT","710",1,"WC"
351,"HT","711",1,"WC"
351,"HT","709",1,"WC"
351,"CH","603",1,"WC"
351,"CH","605",1,"WC"
351,"CH","613",1,"WC"
351,"CH","618",1,"WC"
351,"CH","606",1,"WC"
351,"CH","610",1,"WC"
351,"CH","708",1,"WC"
351,"CH","710",1,"WC"
351,"CH","711",1,"WC"
351,"CH","709",1,"WC"
312,"WI","603",1,"WC"
312,"WI","605",1,"WC"
312,"WI","613",1,"WC"
312,"WI","618",1,"WC"
312,"WI","606",1,"WC"
312,"WI","610",1,"WC"
312,"WI","708",1,"WC"
312,"WI","710",1,"WC"
312,"WI","711",1,"WC"
312,"WI","709",1,"WC"
122,"OT","603",1,"WC"
122,"OT","605",1,"WC"
122,"OT","613",1,"WC"
122,"OT","618",1,"WC"
122,"OT","606",1,"WC"
122,"OT","610",1,"WC"
122,"OT","708",1,"WC"
122,"OT","710",1,"WC"
122,"OT","711",1,"WC"
122,"OT","709",1,"WC"
