"PLT_CN","pltID","INVYR","STATECD","LAT","LON","PLOT_STATUS_CD"
345934414489998,"7_53_59_97127",2016,53,45.900687,-122.116662,1
346864452489998,"7_53_59_97661",2016,53,46.360011,-121.647243,1
345934935489998,"7_53_59_98269",2016,53,45.702986,-122.059009,1
346864366489998,"7_53_59_99863",2016,53,46.166449,-121.858223,1
345936290489998,"4_41_61_50222",2016,41,45.202864,-118.088867,1
345936360489998,"4_41_61_50539",2016,41,45.2053,-118.436089,2
345935169489998,"4_41_61_51432",2016,41,45.560558,-117.733492,1
346864665489998,"4_41_61_51560",2016,41,45.672823,-118.047259,1
346864671489998,"4_41_61_51589",2016,41,45.69434,-118.007172,1
345936244489998,"4_41_61_54222",2016,41,45.38592,-117.727902,1
346864673489998,"4_41_61_55937",2016,41,45.624758,-118.083176,2
346864677489998,"4_41_61_56755",2016,41,45.414231,-117.758216,1
345934695489998,"4_41_61_61753",2016,41,45.500556,-117.941261,2
346864722489998,"4_41_61_62195",2016,41,45.188196,-118.178008,1
346864720489998,"4_41_61_66708",2016,41,45.142724,-118.400256,1
345935727489998,"4_41_61_69524",2016,41,45.072434,-117.731516,1
346864649489998,"4_41_61_72447",2016,41,45.719124,-117.939766,1
345933518489998,"4_41_61_73769",2016,41,45.165184,-118.232646,1
346864684489998,"4_41_61_73858",2016,41,45.146401,-118.305936,1
345936145489998,"4_41_61_75801",2016,41,45.708457,-117.794564,1
345936291489998,"4_41_61_76250",2016,41,45.164823,-117.882494,2
345933517489998,"4_41_61_77442",2016,41,45.350464,-118.08377,2
346864703489998,"4_41_61_78810",2016,41,45.138167,-118.166338,1
346864675489998,"4_41_61_79314",2016,41,45.121008,-118.409036,1
346864651489998,"4_41_61_80229",2016,41,45.747434,-117.973816,1
345934207489998,"4_41_61_80580",2016,41,45.834301,-117.962714,1
346864678489998,"4_41_61_86572",2016,41,45.04977,-118.452851,1
345933535489998,"4_41_61_89081",2016,41,45.64147,-117.948155,1
345934028489998,"4_41_61_89351",2016,41,45.026487,-118.377537,1
346864701489998,"4_41_61_89634",2016,41,45.092201,-118.229708,1
346864691489998,"4_41_61_91415",2016,41,45.045976,-118.337993,1
345935096489998,"4_41_61_91661",2016,41,45.343177,-117.904161,2
345935153489998,"4_41_61_92916",2016,41,45.318922,-118.252162,1
345936359489998,"4_41_61_93854",2016,41,45.320536,-118.56914,1
346864728489998,"4_41_61_94547",2016,41,44.995548,-118.447934,1
345933536489998,"4_41_61_96735",2016,41,45.07025,-118.027413,1
346864699489998,"4_41_61_98924",2016,41,45.324695,-118.598608,1
345933693489998,"4_41_61_99269",2016,41,45.367502,-118.416549,1
346864663489998,"4_41_61_99988",2016,41,45.20109,-118.639377,1
345933329489998,"5_53_61_50362",2016,53,48.184994,-122.38977,2
345933087489998,"5_53_61_50371",2016,53,48.030343,-122.338322,2
346864223489998,"5_53_61_53101",2016,53,48.206745,-121.371339,1
346863992489998,"5_53_61_54088",2016,53,48.031493,-121.610081,1
345934253489998,"5_53_61_56034",2016,53,48.162863,-122.230986,2
346864182489998,"5_53_61_56227",2016,53,48.205845,-121.524808,1
345936695489998,"5_53_61_57152",2016,53,48.108319,-121.269301,1
346864221489998,"5_53_61_57299",2016,53,48.104623,-121.312239,1
346864415489998,"5_53_61_57759",2016,53,48.255715,-121.524847,1
345936470489998,"5_53_61_60991",2016,53,48.249981,-121.120891,1
345936468489998,"5_53_61_68361",2016,53,48.205813,-121.491973,1
345933335489998,"5_53_61_69922",2016,53,47.872163,-122.086492,2
345935945489998,"5_53_61_72626",2016,53,48.015772,-122.142842,2
345934252489998,"5_53_61_73640",2016,53,48.217079,-122.020185,1
345936692489998,"5_53_61_73724",2016,53,47.964028,-121.279234,1
346864426489998,"5_53_61_74213",2016,53,48.128307,-121.487927,1
345936694489998,"5_53_61_74411",2016,53,48.112211,-121.643443,1
345936691489998,"5_53_61_75115",2016,53,47.807781,-121.20862,1
345935997489998,"5_53_61_76658",2016,53,47.84972,-122.060486,1
346864283489998,"5_53_61_77993",2016,53,48.231848,-121.743488,1
346864275489998,"5_53_61_79022",2016,53,47.913194,-121.454962,1
345935946489998,"5_53_61_84992",2016,53,47.921118,-121.936959,2
346864278489998,"5_53_61_86497",2016,53,48.085727,-121.277139,1
346864277489998,"5_53_61_86565",2016,53,48.079423,-121.493181,1
345935878489998,"5_53_61_91431",2016,53,47.857318,-122.295989,2
345933430489998,"5_53_61_91978",2016,53,48.259092,-121.626735,1
345933864489998,"5_53_61_92174",2016,53,47.835795,-122.119924,2
346864428489998,"5_53_61_94511",2016,53,48.040987,-121.634666,1
345934865489998,"5_53_61_94725",2016,53,47.923646,-121.607819,1
345935346489998,"5_53_61_96800",2016,53,48.188973,-121.819244,1
345935417489998,"5_53_61_98283",2016,53,48.281698,-121.344223,1
345933431489998,"5_53_61_98473",2016,53,48.017197,-121.783247,1
345936693489998,"5_53_61_99747",2016,53,48.054572,-121.421441,1
345936185489998,"4_41_63_51376",2016,41,45.514563,-117.586729,1
345934196489998,"4_41_63_53672",2016,41,45.513662,-117.241823,2
345933532489998,"4_41_63_56668",2016,41,45.664677,-117.589717,1
345933481489998,"4_41_63_56742",2016,41,45.848668,-117.303878,1
346864711489998,"4_41_63_57052",2016,41,45.766525,-117.440153,2
345934420489998,"4_41_63_59282",2016,41,45.721965,-116.573506,2
346864705489998,"4_41_63_59471",2016,41,45.820599,-117.077576,1
346864682489998,"4_41_63_60998",2016,41,45.531124,-116.761018,1
345933480489998,"4_41_63_62151",2016,41,45.896614,-117.115146,1
346864737489998,"4_41_63_63656",2016,41,45.459783,-116.65805,1
345933566489998,"4_41_63_65373",2016,41,45.573996,-116.581018,2
345933567489998,"4_41_63_65539",2016,41,45.558443,-116.891974,2
346864652489998,"4_41_63_67044",2016,41,45.898393,-117.714238,1
346864679489998,"4_41_63_68407",2016,41,45.721435,-116.953966,1
345933494489998,"4_41_63_71126",2016,41,45.368436,-117.248101,2
345933449489998,"4_41_63_71256",2016,41,45.75289,-116.729578,2
346864686489998,"4_41_63_71344",2016,41,45.419339,-116.839084,2
345934001489998,"4_41_63_72549",2016,41,45.683342,-116.718044,2
346864694489998,"4_41_63_76229",2016,41,45.856158,-116.794216,2
345935098489998,"4_41_63_76808",2016,41,45.951197,-117.38374,1
345933488489998,"4_41_63_78723",2016,41,45.418316,-117.039664,2
346864721489998,"4_41_63_78975",2016,41,45.256198,-116.994072,1
346864707489998,"4_41_63_79384",2016,41,45.446205,-117.499401,1
345933485489998,"4_41_63_79864",2016,41,45.582656,-117.073113,2
346864702489998,"4_41_63_79940",2016,41,45.783215,-117.187206,2
346864688489998,"4_41_63_80097",2016,41,45.71163,-117.375681,1
345934689489998,"4_41_63_81016",2016,41,45.722758,-116.91971,2
345936670489998,"4_41_63_81454",2016,41,45.715391,-117.417321,1
345934421489998,"4_41_63_81661",2016,41,45.261783,-116.711462,2
345933486489998,"4_41_63_81746",2016,41,45.249791,-117.0335,1
345936668489998,"4_41_63_81752",2016,41,45.430387,-116.730763,1
346864724489998,"4_41_63_81796",2016,41,45.1185,-116.874192,1
346864719489998,"4_41_63_81995",2016,41,45.759371,-117.30243,1
346864653489998,"4_41_63_82332",2016,41,45.855183,-117.742903,2
345933487489998,"4_41_63_82957",2016,41,45.105919,-117.047068,1
345934762489998,"4_41_63_83921",2016,41,45.750741,-117.122774,1
345934862489998,"4_41_63_84277",2016,41,45.227762,-116.869401,2
346864676489998,"4_41_63_85258",2016,41,45.300584,-116.921364,1
346864726489998,"4_41_63_87256",2016,41,45.741278,-116.884081,1
345936671489998,"4_41_63_87357",2016,41,45.880348,-117.823287,1
345936672489998,"4_41_63_89385",2016,41,45.867705,-116.932919,1
345934291489998,"4_41_63_89907",2016,41,45.857594,-117.585882,1
346864693489998,"4_41_63_90429",2016,41,45.862309,-116.972334,1
346864731489998,"4_41_63_90771",2016,41,45.532789,-116.692605,1
346864712489998,"4_41_63_92324",2016,41,45.8746,-117.105894,1
345936243489998,"4_41_63_93161",2016,41,45.35996,-117.59958,1
346864690489998,"4_41_63_93664",2016,41,45.203585,-117.076523,1
346864739489998,"4_41_63_94285",2016,41,45.584325,-116.756468,1
345933461489998,"4_41_63_94328",2016,41,45.709489,-117.271966,1
346864715489998,"4_41_63_96249",2016,41,45.832535,-116.802727,2
346864729489998,"4_41_63_97309",2016,41,45.709414,-116.877771,1
345934888489998,"4_41_63_97799",2016,41,45.361428,-116.903972,1
345936673489998,"4_41_63_98186",2016,41,45.98906,-117.951934,1
345936669489998,"4_41_63_99405",2016,41,45.584754,-116.713891,1
346864683489998,"4_41_63_99614",2016,41,45.281721,-116.993414,1
345935848489998,"4_41_63_99690",2016,41,45.417472,-117.385073,1
