"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,1,0,"Na1010471_frn","Na1010471_frn","E",NA,"Forest","Non-forest",20.5317969322876,434.638931289697,1,1955
2017,1,0,"RaABAMlw_fsi","RaABAMlw_fsi","A",NA,"Forest","Non-forest",104.432806909544,7673.45230100325,2,2140
2017,1,0,"RaABAMlw_fsi","RaABAMlw_fsi","B",NA,"Forest","Non-forest",1.40399987933916,2.12194861877907,1,1955
2017,1,0,"RaABAMlw_fsi","RaABAMlw_fsi","C",NA,"Forest","Non-forest",25.6704943956332,391.912059223162,2,1955
2017,1,0,"RaABAMlw_fsi","RaABAMlw_fsi","D",NA,"Forest","Non-forest",204.04190860428,27942.5389270049,2,2140
2017,1,0,"RaDFHEdy_fwi","RaDFHEdy_fwi","D",NA,"Forest","Non-forest",16.5677349349434,242.676167507271,1,3466
2017,1,0,"RaMCONdy_fdd","RaMCONdy_fdd","A",NA,"Forest","Non-forest",3259.16875953384,1383138.65428099,28,5421
2017,1,0,"RaMCONdy_fdd","RaMCONdy_fdd","B",NA,"Forest","Non-forest",1261.50829349502,400944.536822725,17,5421
2017,1,0,"RaMCONdy_fdd","RaMCONdy_fdd","C",NA,"Forest","Non-forest",4533.98362667456,1855701.74067009,30,5421
2017,1,0,"RaMCONdy_fdd","RaMCONdy_fdd","D",NA,"Forest","Non-forest",959.917120890601,485879.534481941,4,5421
2017,1,0,"RaMCONdy_fdd","RaMCONdy_fdd","E",NA,"Forest","Non-forest",110.800413262665,9760.17729924824,2,5421
2017,1,0,"RaMCONdy_fmd","RaMCONdy_fmd","A",NA,"Forest","Non-forest",2656.78256896243,1230773.75470688,10,5421
2017,1,0,"RaMCONdy_fmd","RaMCONdy_fmd","B",NA,"Forest","Non-forest",543.214547385425,251165.558979618,4,5421
2017,1,0,"RaMCONdy_fmd","RaMCONdy_fmd","C",NA,"Forest","Non-forest",1380.15900070734,362957.298779266,11,5421
2017,1,0,"RaMCONdy_fmd","RaMCONdy_fmd","E",NA,"Forest","Non-forest",514.109687916183,184941.134045957,2,3466
2017,1,0,"RaMCONms_fcm","RaMCONms_fcm","A",NA,"Forest","Non-forest",296.151126941102,84883.5992842056,3,2140
2017,1,0,"RaMCONms_fcm","RaMCONms_fcm","B",NA,"Forest","Non-forest",646.069410270156,597121.695351791,2,2140
2017,1,0,"RaMCONms_fcm","RaMCONms_fcm","C",NA,"Forest","Non-forest",419.562233888264,129941.836182263,2,5421
2017,1,0,"RaMCONms_fmm","RaMCONms_fmm","A",NA,"Forest","Non-forest",148.330097699136,12828.3692292492,5,1955
2017,1,0,"RaMCONms_fmm","RaMCONms_fmm","B",NA,"Forest","Non-forest",88.793616769312,8626.44735088592,1,1955
2017,1,0,"RaMCONms_fmm","RaMCONms_fmm","C",NA,"Forest","Non-forest",322.59917968665,27631.0058392743,10,2140
2017,1,0,"RaMCONms_fmm","RaMCONms_fmm","D",NA,"Forest","Non-forest",9.60637586269317,100.968902058561,1,1955
2017,1,0,"RaMCONms_fmm","RaMCONms_fmm","E",NA,"Forest","Non-forest",277.63781438262,80588.6191816296,1,1955
2017,1,0,"RaPIPOm_fpd","RaPIPOm_fpd","A",NA,"Forest","Non-forest",1190.18751677654,834905.950157998,4,3466
2017,1,0,"RaPIPOm_fpd","RaPIPOm_fpd","C",NA,"Forest","Non-forest",913.394219066793,335208.683243388,4,3466
2017,1,0,"RaPIPOm_fpd","RaPIPOm_fpd","D",NA,"Forest","Non-forest",216.452459331757,21976.1413743208,3,3466
2017,1,0,"RaSAWD_fal","RaSAWD_fal","A",NA,"Forest","Non-forest",365.180088466001,61430.4961026121,4,2140
2017,1,0,"RaSAWD_fal","RaSAWD_fal","B",NA,"Forest","Non-forest",594.822458871525,223125.562738928,3,2140
2017,1,0,"RaSAWD_fal","RaSAWD_fal","C",NA,"Forest","Non-forest",29.2153692671449,481.636448442493,2,1955
2017,1,0,"RaSPFI_fcd","RaSPFI_fcd","A",NA,"Forest","Non-forest",152.840826229377,12858.016656649,5,5421
2017,1,0,"RaSPFI_fcd","RaSPFI_fcd","B",NA,"Forest","Non-forest",60.3342732636215,2191.37554470805,2,2140
2017,1,0,"RaSPFI_fcd","RaSPFI_fcd","D",NA,"Forest","Non-forest",518.173368034083,166116.541475374,4,2140
2017,1,0,"RaSPFI_fcd","RaSPFI_fcd","E",NA,"Forest","Non-forest",6.96438979644798,61.2398165988192,2,2140
2017,1,1,"Na0710412_fmh","Na0710412_fmh","A","B","Forest","Forest",693.04851643715,241708.686775426,2,1955
2017,1,1,"Na0710412_fmh","Na0710412_fmh","A","C","Forest","Forest",1773.42935121898,1206433.80153843,8,5421
2017,1,1,"Na0710412_fmh","Na0710412_fmh","A","D","Forest","Forest",40.8616198461366,2294.72635523755,1,1955
2017,1,1,"Na0710412_fmh","Na0710412_fmh","B","A","Forest","Forest",2942.28881674115,3165075.10246771,7,2140
2017,1,1,"Na0710412_fmh","Na0710412_fmh","B","C","Forest","Forest",2707.54827679151,1659041.96590732,8,5421
2017,1,1,"Na0710412_fmh","Na0710412_fmh","B","D","Forest","Forest",835.124527109156,273850.311385823,3,1955
2017,1,1,"Na0710412_fmh","Na0710412_fmh","B","E","Forest","Forest",625.634326198223,214117.523271869,2,1955
2017,1,1,"Na0710412_fmh","Na0710412_fmh","C","A","Forest","Forest",1688.98241426869,820579.466170311,8,2140
2017,1,1,"Na0710412_fmh","Na0710412_fmh","C","B","Forest","Forest",3933.46053989794,3228281.48300602,8,5606
2017,1,1,"Na0710412_fmh","Na0710412_fmh","C","D","Forest","Forest",4152.1041225805,4354988.28621988,8,5606
2017,1,1,"Na0710412_fmh","Na0710412_fmh","D","A","Forest","Forest",352.438780092223,120516.468266319,1,1955
2017,1,1,"Na0710412_fmh","Na0710412_fmh","D","C","Forest","Forest",1991.42507986262,1816776.46835919,6,5421
2017,1,1,"Na0710412_fmh","Na0710412_fmh","D","E","Forest","Forest",5275.17793137516,6315934.19664414,7,2140
2017,1,1,"Na0710412_fmh","Na0710412_fmh","E","A","Forest","Forest",463.715782824699,163244.425937169,1,1955
2017,1,1,"Na0710412_fmh","Na0710412_fmh","E","B","Forest","Forest",2355.42293182246,3237377.2131995,2,3651
