"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","BPS_LLID1","BPS_LLID2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000110","RaMCONdy_fdd_1702000110",NA,"A","Non-forest","Forest",134.360557841137,15960.4248931508,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000112","RaMCONdy_fdd_1702000112",NA,"A","Non-forest","Forest",467.777348307363,126749.471305121,2,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000112","RaMCONdy_fdd_1702000112",NA,"B","Non-forest","Forest",0.392357214124819,0.150304199816355,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000112","RaMCONdy_fdd_1702000112",NA,"C","Non-forest","Forest",5.52402152443672,32.0529479309968,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000113","RaMCONdy_fdd_1702000113",NA,"A","Non-forest","Forest",178.14131396462,28087.6226912972,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000113","RaMCONdy_fdd_1702000113",NA,"B","Non-forest","Forest",594.513884841369,340727.32698036,2,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000113","RaMCONdy_fdd_1702000113",NA,"C","Non-forest","Forest",38.1310869162372,2071.55192238174,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000114","RaMCONdy_fdd_1702000114",NA,"B","Non-forest","Forest",61.1488805261508,3601.24744863145,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000114","RaMCONdy_fdd_1702000114",NA,"C","Non-forest","Forest",201.395951780889,42604.324713623,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000114","RaMCONdy_fdd_1702000114",NA,"E","Non-forest","Forest",63.5290045212538,4239.32110338796,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000115","RaMCONdy_fdd_1702000115",NA,"A","Non-forest","Forest",1378.21147103498,1530810.05911089,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000115","RaMCONdy_fdd_1702000115",NA,"B","Non-forest","Forest",46.5600758550939,1916.58555500821,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000115","RaMCONdy_fdd_1702000115",NA,"C","Non-forest","Forest",147.004220109767,25064.2772133542,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000116","RaMCONdy_fdd_1702000116",NA,"B","Non-forest","Forest",13.4037733028176,208.37697471422,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000212","RaMCONdy_fdd_1702000212",NA,"A","Non-forest","Forest",59.8884284746136,3174.47209476887,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000212","RaMCONdy_fdd_1702000212",NA,"B","Non-forest","Forest",7.22294252114124,54.5437255269921,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000212","RaMCONdy_fdd_1702000212",NA,"C","Non-forest","Forest",0.513674714464395,0.233540419626335,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000217","RaMCONdy_fdd_1702000217",NA,"A","Non-forest","Forest",1.01629363046125,1.08134085783574,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000219","RaMCONdy_fdd_1702000219",NA,"A","Non-forest","Forest",275.109343597924,55351.5669657263,2,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000219","RaMCONdy_fdd_1702000219",NA,"C","Non-forest","Forest",2.30839838443933,7.6352222492667,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000220","RaMCONdy_fdd_1702000220",NA,"C","Non-forest","Forest",102.52284681214,10422.3854059094,2,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000301","RaMCONdy_fdd_1702000301",NA,"A","Non-forest","Forest",45.9955396604043,1918.86376704736,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000301","RaMCONdy_fdd_1702000301",NA,"B","Non-forest","Forest",26.4456207951372,721.077984559855,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000301","RaMCONdy_fdd_1702000301",NA,"C","Non-forest","Forest",117.35923154012,13801.5057000109,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000303","RaMCONdy_fdd_1702000303",NA,"A","Non-forest","Forest",532.588389065441,328987.175559882,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000303","RaMCONdy_fdd_1702000303",NA,"C","Non-forest","Forest",175.201620324265,35601.7886077767,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000304","RaMCONdy_fdd_1702000304",NA,"A","Non-forest","Forest",93.2641446000526,8492.53321382138,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000304","RaMCONdy_fdd_1702000304",NA,"C","Non-forest","Forest",43.4324603552217,1532.69703565017,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000401","RaMCONdy_fdd_1702000401",NA,"B","Non-forest","Forest",10.0014888167507,105.071894071557,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000401","RaMCONdy_fdd_1702000401",NA,"C","Non-forest","Forest",800.106382331887,302716.137336559,5,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000402","RaMCONdy_fdd_1702000402",NA,"A","Non-forest","Forest",11.1386674453692,120.377548136546,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000402","RaMCONdy_fdd_1702000402",NA,"C","Non-forest","Forest",72.4926417656371,3829.2955882716,3,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000402","RaMCONdy_fdd_1702000402",NA,"E","Non-forest","Forest",50.6090808583781,2466.79376517263,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000403","RaMCONdy_fdd_1702000403",NA,"E","Non-forest","Forest",44.1405734884955,2046.57731282741,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000404","RaMCONdy_fdd_1702000404",NA,"C","Non-forest","Forest",53.5729527774614,2537.41802292116,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000501","RaMCONdy_fdd_1702000501",NA,"A","Non-forest","Forest",90.8394399390563,7497.0086502841,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000616","RaMCONdy_fdd_1702000616",NA,"A","Non-forest","Forest",9.60347490223631,126.752506736331,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000617","RaMCONdy_fdd_1702000617",NA,"B","Non-forest","Forest",74.0508839975408,6020.82687329569,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000619","RaMCONdy_fdd_1702000619",NA,"A","Non-forest","Forest",39.187317038947,1392.84813135918,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000620","RaMCONdy_fdd_1702000620",NA,"B","Non-forest","Forest",8.92566846819041,91.368369644051,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000720","RaMCONdy_fdd_1702000720",NA,"A","Non-forest","Forest",287.128033055437,89060.869759299,1,3466
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000802","RaMCONdy_fdd_1702000802",NA,"A","Non-forest","Forest",2.66774798830815,7.83023596850255,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000802","RaMCONdy_fdd_1702000802",NA,"C","Non-forest","Forest",0.324118914467346,0.115583009754296,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000804","RaMCONdy_fdd_1702000804",NA,"A","Non-forest","Forest",136.24158548905,11607.7099105895,2,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000804","RaMCONdy_fdd_1702000804",NA,"C","Non-forest","Forest",131.214170642975,9686.54911123553,2,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000805","RaMCONdy_fdd_1702000805",NA,"A","Non-forest","Forest",75.0175894738123,4796.7487905361,2,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000805","RaMCONdy_fdd_1702000805",NA,"E","Non-forest","Forest",23.4732587044502,602.858313468634,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000806","RaMCONdy_fdd_1702000806",NA,"D","Non-forest","Forest",11.8900509045813,137.165990967023,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000807","RaMCONdy_fdd_1702000807",NA,"A","Non-forest","Forest",94.9363903875327,4591.43953495371,2,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000807","RaMCONdy_fdd_1702000807",NA,"B","Non-forest","Forest",77.33492444859,6543.64627410334,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1702000807","RaMCONdy_fdd_1702000807",NA,"C","Non-forest","Forest",3.16211487622987,13.7421609953087,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010302","RaMCONdy_fdd_1706010302",NA,"C","Non-forest","Forest",148.630147959006,21617.2392483957,2,5421
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1702000505","RaMCONdy_fmd_1702000505",NA,"A","Non-forest","Forest",49.8804925568267,3419.48900982997,1,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1702000903","RaMCONdy_fmd_1702000903",NA,"C","Non-forest","Forest",23.4454082831012,358.124382165596,2,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1702001002","RaMCONdy_fmd_1702001002",NA,"C","Non-forest","Forest",96.6364397027063,9060.68140711921,1,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1702001106","RaMCONdy_fmd_1702001106",NA,"C","Non-forest","Forest",21.9514011306043,527.221333941332,1,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000104","RaMCONdy_fmd_1703000104",NA,"E","Non-forest","Forest",87.726636637131,10954.9045225224,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000105","RaMCONdy_fmd_1703000105",NA,"A","Non-forest","Forest",124.065850420372,13961.022225128,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000202","RaMCONdy_fmd_1703000202",NA,"A","Non-forest","Forest",214.676453715051,52283.2351686484,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000202","RaMCONdy_fmd_1703000202",NA,"B","Non-forest","Forest",5.34464727398641,29.8644539399362,1,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000202","RaMCONdy_fmd_1703000202",NA,"C","Non-forest","Forest",59.8862006479701,3749.47103442876,1,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000202","RaMCONdy_fmd_1703000202",NA,"E","Non-forest","Forest",20.6039594660212,443.831226426474,1,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000203","RaMCONdy_fmd_1703000203",NA,"A","Non-forest","Forest",13.5266363430803,177.524642323053,1,1955
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000203","RaMCONdy_fmd_1703000203",NA,"C","Non-forest","Forest",520.054215725562,257150.283983402,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000303","RaMCONdy_fmd_1703000303",NA,"C","Non-forest","Forest",364.684932608762,120628.060584807,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000306","RaMCONdy_fmd_1703000306",NA,"A","Non-forest","Forest",29.8052399932783,947.635937177663,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000307","RaMCONdy_fmd_1703000307",NA,"C","Non-forest","Forest",43.2762338569173,1943.14947818277,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1703000308","RaMCONdy_fmd_1703000308",NA,"E","Non-forest","Forest",191.519814247293,39127.6440972449,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010113","RaMCONdy_fmd_1707010113",NA,"A","Non-forest","Forest",242.424806642759,57865.9273402131,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010113","RaMCONdy_fmd_1707010113",NA,"C","Non-forest","Forest",18.8911829000994,413.917593122132,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010602","RaMCONdy_fmd_1707010602",NA,"B","Non-forest","Forest",40.4242209348794,1595.47920855912,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010602","RaMCONdy_fmd_1707010602",NA,"C","Non-forest","Forest",132.141310933418,15864.1328472694,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010602","RaMCONdy_fmd_1707010602",NA,"E","Non-forest","Forest",69.2601688171013,4144.23146784733,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010603","RaMCONdy_fmd_1707010603",NA,"B","Non-forest","Forest",0.852652082408178,0.929606481431357,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010604","RaMCONdy_fmd_1707010604",NA,"A","Non-forest","Forest",245.795893416506,64447.4178024233,1,3466
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","RaMCONdy_fmd_1707010604","RaMCONdy_fmd_1707010604",NA,"B","Non-forest","Forest",72.9582404019893,4897.79977232421,1,3466
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","RaMCONms_fcm_17060107","RaMCONms_fcm_17060107",NA,"A","Non-forest","Forest",52.558497201132,2984.15665791925,1,3466
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","RaMCONms_fcm_17060107","RaMCONms_fcm_17060107",NA,"C","Non-forest","Forest",18.1613721263717,251.384940729488,1,1955
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","RaMCONms_fcm_17070102","RaMCONms_fcm_17070102",NA,"A","Non-forest","Forest",7.6272510917829,52.7653462508608,1,3466
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","RaMCONms_fcm_17070102","RaMCONms_fcm_17070102",NA,"C","Non-forest","Forest",247.97364428244,54801.642005306,2,1955
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","RaMCONms_fcm_17070102","RaMCONms_fcm_17070102",NA,"D","Non-forest","Forest",1.95048085918376,2.89951479263958,1,1955
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","RaMCONms_fmm_17020009","RaMCONms_fmm_17020009",NA,"C","Non-forest","Forest",1.68121438786117,3.09253540118801,1,1955
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","RaMCONms_fmm_17020011","RaMCONms_fmm_17020011",NA,"A","Non-forest","Forest",101.842824528129,8732.40679095459,2,1955
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","RaMCONms_fmm_17020011","RaMCONms_fmm_17020011",NA,"B","Non-forest","Forest",5.73364991941486,36.095909566768,1,1955
