"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2019,0,1,NA,"E","Non-forest","Forest",911.827629921733,79572.9347151815,17,7427
2019,1,0,"A",NA,"Forest","Non-forest",9902.99541779392,3437281.92250186,89,7427
2019,1,0,"B",NA,"Forest","Non-forest",2846.40735953302,862644.980913757,44,7427
2019,1,0,"C",NA,"Forest","Non-forest",7430.70966357074,1817604.47587687,90,7427
2019,1,0,"D",NA,"Forest","Non-forest",1714.30119628128,392567.831830743,21,7427
2019,1,0,"E",NA,"Forest","Non-forest",1008.55007288577,211981.972965215,13,7427
2019,1,1,"A","B","Forest","Forest",21963.0668464508,11739555.2708666,70,7186
2019,1,1,"A","C","Forest","Forest",34347.8070179213,18003466.4083954,133,7427
2019,1,1,"A","D","Forest","Forest",4943.68234213419,4501062.59217021,14,7427
2019,1,1,"A","E","Forest","Forest",4593.85430077633,2843519.45859876,15,7186
2019,1,1,"B","A","Forest","Forest",27008.713031453,17912823.6606356,101,7427
2019,1,1,"B","C","Forest","Forest",44340.656465415,24851920.3826886,128,7427
2019,1,1,"B","D","Forest","Forest",7769.12737009406,4451025.65562205,21,7427
2019,1,1,"B","E","Forest","Forest",21141.603699248,12155948.5531415,57,7427
2019,1,1,"C","A","Forest","Forest",60581.317677156,34490531.5474661,200,7427
2019,1,1,"C","B","Forest","Forest",47169.6538075617,30297179.7939867,109,7427
2019,1,1,"C","D","Forest","Forest",26100.0266744654,15632496.568314,69,7427
2019,1,1,"C","E","Forest","Forest",11360.5099862074,7529594.96925455,26,7427
2019,1,1,"D","A","Forest","Forest",10568.3785020599,6730466.1495434,37,7427
2019,1,1,"D","B","Forest","Forest",1966.88176863993,984011.640991116,9,7186
2019,1,1,"D","C","Forest","Forest",11215.4754058985,7051625.15077039,34,7427
2019,1,1,"D","E","Forest","Forest",11269.8953461964,6866858.61950944,34,7427
2019,1,1,"E","A","Forest","Forest",8172.89286268791,5336928.45226915,27,7427
2019,1,1,"E","B","Forest","Forest",8348.77543438517,5327362.04247035,20,7427
2019,1,1,"E","C","Forest","Forest",7892.84945947184,5319706.84630879,21,7427
2019,1,1,"E","D","Forest","Forest",11515.8548176073,7506605.68342972,31,7427
