"YEAR","BpS_Code","MAP_ZONE","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"RaABAMup_fst","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WCR","C",NA,0,0,NA,0,0,0,1955
2017,"RaABAMup_fst","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WCR","E",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WNC","A",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","B",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","C",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","D",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","E",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","D",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaABLA_faf","WCR","A",NA,0,0,NA,0,0,0,3466
2017,"RaABLA_faf","WCR","B",NA,0,0,NA,0,0,0,185
2017,"RaABLA_faf","WCR","C",NA,0,0,NA,0,0,0,3466
2017,"RaABLA_faf","WCR","E",NA,0,0,NA,0,0,0,3651
2017,"RaABLA_faf","WNC","A",NA,0,0,NA,0,0,0,5606
2017,"RaABLA_faf","WNC","B",NA,0,0,NA,0,0,0,5606
2017,"RaABLA_faf","WNC","C",NA,0,0,NA,0,0,0,5421
2017,"RaABLA_faf","WNC","E",NA,0,0,NA,0,0,0,5421
2017,"RaABLA_faf","WNE","B",-5.53091466307484,-355.314936443718,6424.16233278468,16.0328924886746,131990.723540616,22064510.1742012,2,1955
2017,"RaABLA_faf","WNE","E",Inf,355.314936443718,0,NA,131990.723540616,0,1,1955
2017,"RaDFHEdy_fdg","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","D",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEdy_fdg","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","OEC","D",-0.208097369266634,-15.9685401814192,7673.5906069811,0.0375235933998867,225.440159547211,52059273.507401,1,3466
2017,"RaDFHEdy_fwi","OEC","E",0,0,8993.04484457868,0,0,32556016.0362551,1,1955
2017,"RaDFHEdy_fwi","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","E",NA,0,0,NA,0,0,0,5606
2017,"RaDFHEdy_fwi","WNC","A",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEdy_fwi","WNC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WNC","C",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEdy_fwi","WNC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WNC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WCR","A",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwm","WCR","B",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwm","WCR","C",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwm","WCR","E",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwm","WNC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WNC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WNC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WNC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WNC","E",NA,0,0,NA,0,0,0,5606
2017,"RaDFHEwt_fwm","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WWC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwn","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwn","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwn","WCR","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwn","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwn","WCR","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwn","WWC","A",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwn","WWC","B",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwn","WWC","C",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwn","WWC","D",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fww","WNC","E",NA,0,0,NA,0,0,0,1955
2017,"RaDFHEwt_fww","WWC","A",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fww","WWC","B",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fww","WWC","C",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fww","WWC","D",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fww","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaMCONdy_fdd","OBM","A",0,0,1674.41155180533,0,0,4036490.15448786,1,185
2017,"RaMCONdy_fdd","OBM","B",0,0,5487.0078557757,0,0,18721778.2943327,2,1955
2017,"RaMCONdy_fdd","OBM","C",-0.0225663561074297,-10.2168957309149,45274.9025242542,0.000122755402203712,49837.4220521076,501050249.785824,7,5606
2017,"RaMCONdy_fdd","OBM","E",0,0,9939.33252175338,0,0,142230885.828482,1,185
2017,"RaMCONdy_fdd","WNE","A",1.90396459748645,14436.5766540557,758237.66225036,0.0375910765894457,51447445.8278438,5725407986.08307,273,5421
2017,"RaMCONdy_fdd","WNE","B",-2.21363150351774,-25338.6722743874,1144665.32637076,0.0293006864194697,66702982.4353444,8208261833.46149,250,5421
2017,"RaMCONdy_fdd","WNE","C",-0.0779277795426243,-1146.15705859867,1470793.93937018,3.6058641571867e-05,69402973.7060924,11056697047.3555,346,5421
2017,"RaMCONdy_fdd","WNE","D",3.78547235109464,3338.94875732695,88204.2833138493,1.29883673987198,9890457.57147694,688678814.346342,27,5421
2017,"RaMCONdy_fdd","WNE","E",3.66125062496881,7447.79314740663,203422.106550547,0.423763757765819,19834004.7644377,1273117521.20762,72,5421
2017,"RaMCONdy_fmd","OEC","A",Inf,1093.02186324335,0,NA,1083603.5095451,0,1,3466
2017,"RaMCONdy_fmd","OEC","E",-10.1010101010101,-1093.02186324335,10820.9164461092,90.7011314850184,1083603.5095451,106203979.970516,1,3466
2017,"RaMCONdy_fmd","WEC","A",3.15117333417305,11039.6139108304,350333.439011774,0.216276643496581,25108700.8046213,2614915913.85524,123,5606
2017,"RaMCONdy_fmd","WEC","B",-0.132761451232044,-544.548946157941,410170.980434799,0.000325911705076264,27150509.4018444,3649163696.34659,78,5421
2017,"RaMCONdy_fmd","WEC","C",-2.4411821025762,-17021.802693077,697277.055862148,0.0659984903139189,33683160.0694697,5561758414.30726,127,5606
2017,"RaMCONdy_fmd","WEC","D",2.85533902990463,1729.84258593275,60582.738785682,1.36785240469524,7601823.79520385,592895038.982467,16,5421
2017,"RaMCONdy_fmd","WEC","E",1.39194923175518,2710.32585246451,194714.418502672,0.102104568586819,18872427.1449329,1873926393.19462,35,5421
2017,"RaMCONdy_fmd","WNE","A",0.542302921937548,271.015916838545,49975.0058270487,0.0748743855006709,2980461.14096248,568787139.386756,6,5421
2017,"RaMCONdy_fmd","WNE","B",-2.25862385905025,-465.891462471639,20627.2266453231,2.70306881489701,1011742.59631366,233155975.964551,3,5421
2017,"RaMCONdy_fmd","WNE","C",3.04443662908655,1120.30658359362,36798.4858968721,2.58778235040221,2516989.99151827,374015693.172616,6,5421
2017,"RaMCONdy_fmd","WNE","D",-3.84694675787451,-1243.29451418682,32318.9945803606,5.26943675507728,1553672.78551008,380052280.202446,2,3466
2017,"RaMCONms_fcm","OBM","A",2.33063167906108,1402.19353922813,60163.6694388802,0.673407575681321,4532735.07894354,431399842.738375,26,5606
2017,"RaMCONms_fcm","OBM","B",-8.75453148592312,-3975.78877460031,45414.0667720848,12.2773200098667,3351120.03604743,337817228.522198,10,2140
2017,"RaMCONms_fcm","OBM","C",1.29476710579773,2243.64906064346,173285.917644711,0.0856292246632671,6528695.75835392,1479876669.20596,40,5606
2017,"RaMCONms_fcm","OBM","D",-2.19345865967356,-844.624418488521,38506.5118398092,0.750077316962662,705177.618763406,235492051.931769,11,5606
2017,"RaMCONms_fcm","OBM","E",0.303844094519918,141.059067678623,46424.8179322032,0.0229854426233687,360233.533666309,522752716.862626,10,2140
2017,"RaMCONms_fmm","WEC","A",4.88981783214709,6221.95809292708,127243.147015051,0.820588110966169,10163143.5587398,546744253.38684,76,5606
2017,"RaMCONms_fmm","WEC","B",4.0845018949449,5821.6906313941,142531.226111052,0.546086000520291,8018514.24985643,654395007.618862,64,5421
2017,"RaMCONms_fmm","WEC","C",-2.72155852528943,-12913.9135005693,474504.346703181,0.109313817189483,13330612.7728282,3406363767.72145,117,5606
2017,"RaMCONms_fmm","WEC","D",1.24145525304634,696.443499425467,56098.9610955774,0.218614708561869,6269096.07259828,387017293.474944,25,5421
2017,"RaMCONms_fmm","WEC","E",0.629197016986016,1036.10763305081,164671.415324564,0.0170730337966814,5942861.7664216,1079215847.03137,46,5606
2017,"RaPIPOm_fdp","OBM","A",0,0,543.095996706618,0,0,224799.399222244,1,1955
2017,"RaPIPOm_fpd","WCB","A",-1.38472102538163,-660.234250620536,47679.9469726094,0.377853332870514,2696689.20668428,470088600.77224,8,3466
2017,"RaPIPOm_fpd","WCB","B",12.6829259063539,1196.79805420556,9436.29303712949,204.515820651718,1301310.29283136,113203486.285587,2,3466
2017,"RaPIPOm_fpd","WCB","C",-6.89488198799416,-2498.62191726029,36238.7916372036,11.5549718937322,2106052.91546165,325989548.345904,4,3466
2017,"RaPIPOm_fpd","WCB","D",2.13544399505053,792.957565931813,37133.1473815145,1.35100364039208,2766550.40197724,397299764.705436,6,3466
2017,"RaPIPOm_fpd","WCB","E",Inf,792.063278870195,0,NA,612530.318567882,0,1,3466
2017,"RaPIPOm_fpd","WEC","A",30.5430997183094,1252.14747645996,4099.60838293484,860.506330404928,1378865.53626922,15401556.6192139,6,5421
2017,"RaPIPOm_fpd","WEC","B",3.64212615141386,654.22571335258,17962.741710597,5.98197024091628,496421.747767946,145468117.10679,4,5421
2017,"RaPIPOm_fpd","WEC","C",-4.77561827756061,-343.355068305635,7189.75111388135,10.5474016136025,383730.320679877,24939280.6359939,3,5421
2017,"RaPIPOm_fpd","WEC","D",-8.14701872474865,-1501.09805543878,18425.1209694512,37.1570687744351,2111348.82123414,194845617.196603,3,5421
2017,"RaPIPOm_fpd","WEC","E",0,0,9852.14944685995,0,0,103542407.298511,1,3466
2017,"RaPIPOm_fpd","WNE","A",-0.712365878894256,-634.591591807681,89082.2554264815,0.0536202241173225,7365557.12322913,940167787.127471,14,3466
2017,"RaPIPOm_fpd","WNE","B",1.07193154547495,347.465885360149,32414.9323552369,0.406703251603562,4316725.266742,331235800.327505,5,3466
2017,"RaPIPOm_fpd","WNE","C",-6.1667726916658,-4569.51952049473,74099.0425457111,5.28450794121017,8421873.88665807,784643939.810699,9,3466
2017,"RaPIPOm_fpd","WNE","D",9.6909012345956,4338.73356453278,44771.2081621873,22.4619071810071,9839129.13917925,473592284.533368,11,3466
2017,"RaPIPOm_fpd","WNE","E",0,0,34186.9422349699,0,0,331954680.699771,3,3466
2017,"RaSAWD_fal","WCR","A",NA,0,0,NA,0,0,0,3466
2017,"RaSAWD_fal","WCR","B",NA,0,0,NA,0,0,0,3466
2017,"RaSAWD_fal","WEC","A",4.21929133407786,2854.7531536026,67659.5410832543,2.66921020475886,4070096.7953433,684894291.001009,12,5606
2017,"RaSAWD_fal","WEC","B",-0.0596447784288304,-56.285842688466,94368.4328639558,0.000496200741825024,1777772.62071089,1009527359.78771,14,5606
2017,"RaSAWD_fal","WEC","C",-4.12880541007561,-2836.34586957286,68696.5256984809,3.15857477592676,4874342.88369058,895824315.944084,8,5606
2017,"RaSAWD_fal","WNC","A",NA,0,0,NA,0,0,0,2140
2017,"RaSAWD_fal","WNC","B",NA,0,0,NA,0,0,0,2140
2017,"RaSAWD_fal","WNE","A",2.91484037319545,2954.73762749049,101368.762923072,0.991461548576806,6471243.07860941,1188761867.14673,19,5606
2017,"RaSAWD_fal","WNE","B",-3.56784029480009,-1869.33524350843,52394.0280127693,3.29581301137791,3272379.63562686,728674385.473775,5,2140
2017,"RaSAWD_fal","WNE","C",-1.44993847499542,-1091.93445741021,75309.0200888462,0.373921994354117,3185808.00461324,1043658870.42664,7,2140
2017,"RaSAWD_fal","WWC","A",NA,0,0,NA,0,0,0,3651
2017,"RaSAWD_fal","WWC","B",NA,0,0,NA,0,0,0,5606
2017,"RaSAWD_fal","WWC","C",NA,0,0,NA,0,0,0,3466
2017,"RaSPFI_fcd","WNE","A",5.12013138126395,4915.71338785396,96007.5635137408,2.30449294951254,11727982.0154049,795499100.500197,59,5606
2017,"RaSPFI_fcd","WNE","B",-2.10966877732393,-3203.66870403035,151856.478062596,0.319375676205477,13601609.6285579,1740645213.22471,33,5606
2017,"RaSPFI_fcd","WNE","C",-0.741562367367361,-1889.93646804898,254858.734911062,0.0150017036548634,27402974.3743968,2073589425.82671,66,5606
2017,"RaSPFI_fcd","WNE","D",1.00866060888369,2890.82604091535,286600.469519148,0.0342129720816005,17248767.703465,2563080651.0344,87,5606
2017,"RaSPFI_fcd","WNE","E",-0.940432290485652,-2848.03802196595,302843.495568956,0.0281140580120697,15950486.9333563,3124740428.6525,65,5606
2017,"RaSSHE_fss","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaSSHE_fss","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaSSHE_fss","WCR","D",NA,0,0,NA,0,0,0,5421
