"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","stratID"
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,44980.8759909753,"Na1010471_frn WNE"
"Na1010471_frn",13,"B","E","Grow w/o fire","None",0,0,1,98203.9991465607,"Na1010471_frn WNE"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,109512.840744122,"Na1010471_frn WNE"
"R1RFWF_fcw",1,"B","C","Thin / low fire","None",1,0,0,6500.55520636472,"R1RFWF_fcw OSW"
"R1RFWF_fcw",2,"E","D","Thin / low fire","None",1,0,0,13393.6175378632,"R1RFWF_fcw OSW"
"R1RFWF_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4395.22920221761,"R1RFWF_fcw OSW"
"R1RFWF_fcw",6,"B","A","Regen / high fire","None",1,0,0,13761.8470344919,"R1RFWF_fcw OSW"
"R1RFWF_frm",1,"B","C","Thin / low fire","None",1,0,0,55.1330038901718,"R1RFWF_frm OSW"
"R1RFWF_frm",2,"E","D","Thin / low fire","None",1,0,0,454.37586024702,"R1RFWF_frm OSW"
"R1RFWF_frm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,39.3726415006943,"R1RFWF_frm OSW"
"R1RFWF_frm",6,"B","A","Regen / high fire","None",1,0,0,416.441588761963,"R1RFWF_frm OSW"
"RaABAMlw_fsi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4463.64267875691,"RaABAMlw_fsi OEC"
"RaABAMlw_fsi",6,"B","A","Regen / high fire","None",1,0,0,2938.42902942945,"RaABAMlw_fsi OEC"
"RaABAMlw_fsi",13,"B","E","Grow w/o fire","None",0,0,1,14009.7637757031,"RaABAMlw_fsi OEC"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,7428.70947951896,"RaABAMlw_fsi OEC"
"RaABAMlw_fsi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,361.486966235998,"RaABAMlw_fsi OSW"
"RaABAMlw_fsi",6,"B","A","Regen / high fire","None",1,0,0,2575.08306617817,"RaABAMlw_fsi OSW"
"RaABAMlw_fsi",13,"B","E","Grow w/o fire","None",0,0,1,1832.01017545953,"RaABAMlw_fsi OSW"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,819.555311478158,"RaABAMlw_fsi OSW"
"RaABAMlw_fsi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,17368.6079400316,"RaABAMlw_fsi WEC"
"RaABAMlw_fsi",6,"B","A","Regen / high fire","None",1,0,0,22264.434191277,"RaABAMlw_fsi WEC"
"RaABAMlw_fsi",13,"B","E","Grow w/o fire","None",0,0,1,43785.0045885018,"RaABAMlw_fsi WEC"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,18126.1227275033,"RaABAMlw_fsi WEC"
"RaABAMlw_fsw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,825.099014325848,"RaABAMlw_fsw OEC"
"RaABAMlw_fsw",6,"B","A","Regen / high fire","None",1,0,0,392.091699088078,"RaABAMlw_fsw OEC"
"RaABAMlw_fsw",13,"B","E","Grow w/o fire","None",0,0,1,1949.51133060043,"RaABAMlw_fsw OEC"
"RaABAMlw_fsw",14,"C","E","Grow w/o fire","None",0,0,1,1355.77482025668,"RaABAMlw_fsw OEC"
"RaABAMlw_fsw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,89.7531933903129,"RaABAMlw_fsw OSW"
"RaABAMlw_fsw",6,"B","A","Regen / high fire","None",1,0,0,84.6495163926993,"RaABAMlw_fsw OSW"
"RaABAMlw_fsw",7,"C","A","Regen / high fire","None",1,0,0,186.103644823769,"RaABAMlw_fsw OSW"
"RaABAMlw_fwc",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,91.3460009738727,"RaABAMlw_fwc OEC"
"RaABAMlw_fwc",6,"B","A","Regen / high fire","None",1,0,0,3.4230265012493,"RaABAMlw_fwc OEC"
"RaABAMlw_fwc",13,"B","E","Grow w/o fire","None",0,0,1,1025.72688545752,"RaABAMlw_fwc OEC"
"RaABAMlw_fwc",14,"C","E","Grow w/o fire","None",0,0,1,547.225445332431,"RaABAMlw_fwc OEC"
"RaABAMlw_fwc",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,59.1619108041345,"RaABAMlw_fwc OSW"
"RaABAMlw_fwc",6,"B","A","Regen / high fire","None",1,0,0,273.919029480299,"RaABAMlw_fwc OSW"
"RaABAMlw_fwc",13,"B","E","Grow w/o fire","None",0,0,1,432.982221023955,"RaABAMlw_fwc OSW"
"RaABLA_faf",1,"B","A","Regen / high fire","None",1,0,0,1478.64562000413,"RaABLA_faf WNE"
"RaABLA_faf",10,"B","E","Grow w/o fire","None",0,0,1,1948.39552858569,"RaABLA_faf WNE"
"RaABLA_faf",14,"C","D","Grow w/ fire","None",0,0,1,73.3222072590686,"RaABLA_faf WNE"
"RaABLA_faf",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,173.385110062564,"RaABLA_faf WNE"
"RaDFHEdy_fwi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6426.7845047075,"RaDFHEdy_fwi OEC"
"RaDFHEdy_fwi",11,"C","D","Grow w/ fire","None",0,0,1,9.09494701772928e-13,"RaDFHEdy_fwi OEC"
"RaDFHEdy_fwi",13,"B","E","Grow w/o fire","None",0,0,1,6068.83628057262,"RaDFHEdy_fwi OEC"
"RaDFHEdy_fwi",14,"C","E","Grow w/o fire","None",0,0,1,5307.48024321494,"RaDFHEdy_fwi OEC"
"RaDFHEdy_fwi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,679.118580099981,"RaDFHEdy_fwi OEC"
"RaDFHEdy_fwi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,34965.4268664316,"RaDFHEdy_fwi OSW"
"RaDFHEdy_fwi",13,"B","E","Grow w/o fire","None",0,0,1,63372.5198661725,"RaDFHEdy_fwi OSW"
"RaDFHEdy_fwi",14,"C","E","Grow w/o fire","None",0,0,1,18655.8091834848,"RaDFHEdy_fwi OSW"
"RaDFHEdy_fwi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,19640.6872060058,"RaDFHEdy_fwi OSW"
"RaDFHEdy_fwi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6.83125020003865,"RaDFHEdy_fwi ZoneNull"
"RaDFHEdy_fwi",13,"B","E","Grow w/o fire","None",0,0,1,13.2660114022643,"RaDFHEdy_fwi ZoneNull"
"RaDFHEdy_fwi",14,"C","E","Grow w/o fire","None",0,0,1,74.3308299599734,"RaDFHEdy_fwi ZoneNull"
"RaDFHEdy_fwi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,123.067048209424,"RaDFHEdy_fwi ZoneNull"
"RaDFHEdy_fwx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8814.02433224916,"RaDFHEdy_fwx OSW"
"RaDFHEdy_fwx",6,"B","A","Regen / high fire","None",1,0,0,924.157215618794,"RaDFHEdy_fwx OSW"
"RaDFHEdy_fwx",13,"B","E","Grow w/o fire","None",0,0,1,14314.5747658156,"RaDFHEdy_fwx OSW"
"RaDFHEdy_fwx",14,"C","E","Grow w/o fire","None",0,0,1,6756.37557834505,"RaDFHEdy_fwx OSW"
"RaDFHEwt_fdm",10,"B","E","Grow w/o fire","None",0,0,1,16.9772555928951,"RaDFHEwt_fdm OEC"
"RaDFHEwt_fdm",11,"C","E","Grow w/o fire","None",0,0,1,12.0677230088484,"RaDFHEwt_fdm OEC"
"RaDFHEwt_fdm",12,"D","E","Grow w/o fire","None",0,0,1,5.88626326528135,"RaDFHEwt_fdm OEC"
"RaDFHEwt_fdm",10,"B","E","Grow w/o fire","None",0,0,1,4832.63653298767,"RaDFHEwt_fdm OSW"
"RaDFHEwt_fdm",11,"C","E","Grow w/o fire","None",0,0,1,1524.60044971872,"RaDFHEwt_fdm OSW"
"RaDFHEwt_fdm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,26.189437049705,"RaDFHEwt_fdm OSW"
"RaDFHEwt_fhc",10,"B","E","Grow w/o fire","None",0,0,1,9542.07012909344,"RaDFHEwt_fhc OSW"
"RaDFHEwt_fhc",11,"C","E","Grow w/o fire","None",0,0,1,3798.88045968341,"RaDFHEwt_fhc OSW"
"RaDFHEwt_fhc",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2457.28065901379,"RaDFHEwt_fhc OSW"
