"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES"
"RaREFI_fcw",1,"B","C","Thin / low fire","None",1,0,0,2768.82064976837
"RaREFI_fcw",2,"E","D","Thin / low fire","None",1,0,0,6076.34759697891
"RaREFI_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,36762.4690455844
"RaREFI_frf",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,11018.7703253055
"RaREFI_frf",6,"B","A","Regen / high fire","None",1,0,0,1012.47354451644
"RaREFI_frf",13,"B","E","Grow w/o fire","None",0,0,1,9787.42215972432
"RaREFI_frm",1,"B","C","Thin / low fire","None",1,0,0,6132.71634334731
"RaREFI_frm",2,"E","D","Thin / low fire","None",1,0,0,9198.9735271112
"RaREFI_frm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,7409.84727263054
"RaREFI_frm",6,"B","A","Regen / high fire","None",1,0,0,3299.25786743939
"RaSAWD_fal",1,"B","C","Thin / low fire","None",1,0,0,106555.659309178
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,124710.99783405
"RaSAWD_fsw",1,"B","C","Thin / low fire","None",1,0,0,14943.4757035931
"RaSAWD_fsw",3,"A","C","Grow w/ fire","None",0,0,1,4355.81011231977
"RaSPFI_fcd",1,"A","B","Regen / high fire","None",1,0,0,66073.7432424177
"RaSPFI_fcd",4,"C","B","Regen / high fire","None",1,0,0,152395.199156645
"RaSPFI_fcd",13,"C","D","Grow w/o fire","None",0,0,1,97653.079001829
"RaSPFI_fmz",4,"C","B","Regen / high fire","None",1,0,0,33863.4329176829
"RaSPFI_fmz",14,"C","E","Grow w/o fire","None",0,0,1,3872.88792355958
"RaSSHE_fss",7,"A","C","Grow w/o fire","None",0,0,1,3.77466341187895
"RaSSHE_fss",8,"B","E","Grow w/o fire","None",0,0,1,18438.1767882435
"RaSSHE_fss",18,"A","D","Grow w/o fire","Thin / low fire",0,1,0,70.4872633603754
"RaSSHE_fss",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,4079.86150187755
"RaTAOAco_ftm",1,"B","C","Thin / low fire","None",1,0,0,161139.822249464
"RaTAOAco_ftm",2,"E","D","Thin / low fire","None",1,0,0,114311.618071808
"RaTAOAco_ftm",5,"E","C","Overstory removal","None",1,0,0,57575.8300242797
"RaTAOAco_fto",1,"B","C","Thin / low fire","None",1,0,0,3377.82281774437
"RaTAOAco_fto",2,"E","D","Thin / low fire","None",1,0,0,3827.40805890342
"RaTAOAco_fto",5,"E","C","Overstory removal","None",1,0,0,2571.07933653144
"RaTAOAco_fto",10,"A","C","Grow w/ fire","None",0,0,1,3697.1692622369
