"","BpS_Code","BPS_LLID","type","REST_ACRES","AREA_TOTAL","REST_PCT"
"54","Na0210290_fwo","Na0210290_fwo_1710030501","active",116.888596389812,277.99375,0.42047203
"55","Na0210290_fwo","Na0210290_fwo_1710030501","both",97.129767502075,277.99375,0.349395508
"56","Na0210290_fwo","Na0210290_fwo_1710030502","active",295.231308144897,805.0699,0.366715123922652
"57","Na0210290_fwo","Na0210290_fwo_1710030502","both",312.973371562348,805.0699,0.388753040651934
"58","Na0210290_fwo","Na0210290_fwo_1710030502","passive",13.442828523661,805.0699,0.0166977159668509
"59","Na0210290_fwo","Na0210290_fwo_1710030602","active",2.91277189183615,17.569205,0.165788485696203
"60","Na0210290_fwo","Na0210290_fwo_1710030602","both",5.08329815426119,17.569205,0.289330004075949
"61","Na0210290_fwo","Na0210290_fwo_1710030602","passive",5.27280193186995,17.569205,0.300116136835443
"62","Na0210290_fwo","Na0210290_fwo_1710030604","active",0.23280397735916,0.88958,0.261701002
"63","Na0210290_fwo","Na0210290_fwo_1710030604","both",0.55033667967828,0.88958,0.618647766
"64","Na0210290_fwo","Na0210290_fwo_1710030604","passive",0.02152709231112,0.88958,0.024199164
"65","Na0210290_fwo","Na0210290_fwo_1710030701","active",46.775694826273,108.97355,0.429238974285714
"66","Na0210290_fwo","Na0210290_fwo_1710030701","both",32.7018056608134,108.97355,0.30008938555102
"67","Na0210290_fwo","Na0210290_fwo_1710030702","active",10.161580446386,40.0311,0.253842148888889
"68","Na0210290_fwo","Na0210290_fwo_1710030702","both",19.7422691202988,40.0311,0.493173285777778
"69","Na0210290_fwo","Na0210290_fwo_1710030703","active",14.006243163109,1465.360655,0.00955822248626499
"70","Na0210290_fwo","Na0210290_fwo_1710030703","both",659.665604036073,1465.360655,0.450172864806496
"71","Na0210290_fwo","Na0210290_fwo_1710030703","passive",140.168259994941,1465.360655,0.0956544448744878
"72","Na0210290_fwo","Na0210290_fwo_1710030704","both",1191.87433653648,3204.934345,0.371887286363889
"73","Na0210290_fwo","Na0210290_fwo_1710030704","passive",746.717411681149,3204.934345,0.232989924691
"74","Na0210290_fwo","Na0210290_fwo_1710030705","both",835.088864401157,1844.766525,0.452679974990958
"75","Na0210290_fwo","Na0210290_fwo_1710030705","passive",226.441377412056,1844.766525,0.122747986990958
"76","Na0210290_fwo","Na0210290_fwo_1710030706","active",154.215328314949,1428.22069,0.107977240068514
"77","Na0210290_fwo","Na0210290_fwo_1710030706","both",822.676901558661,1428.22069,0.576015252627842
"78","Na0210290_fwo","Na0210290_fwo_1710030707","both",4917.46601941614,9931.71591,0.495127535259528
"79","Na0210290_fwo","Na0210290_fwo_1710030707","passive",539.597599978611,9931.71591,0.0543307525978772
"80","Na0210290_fwo","Na0210290_fwo_1710030708","active",2143.48917394992,40802.36586,0.0525334531165326
"81","Na0210290_fwo","Na0210290_fwo_1710030708","both",23987.6988490166,40802.36586,0.587899704917174
"82","Na0210290_fwo","Na0210290_fwo_1710030801","active",305.216831359352,36239.487645,0.00842221706744972
