"BpS_Code","BPS_LLID","SCLASS","AREA_PCT","AREA","AREA_TOTAL","avg","low","high","departure"
"Na0210290_fdw","Na0210290_fdw_1710030104","A",3.48135964912281,60.4263954760608,811.29696,75.1097443718803,60.4263954760608,89.7930924564029,-7.105427357601e-15
"Na0210290_fdw","Na0210290_fdw_1710030104","B",57.1820175438597,59.1463798103904,811.29696,8.86677968000832,3.84325486519104,13.8903044948256,45.2560753155648
"Na0210290_fdw","Na0210290_fdw_1710030104","C",3.4265350877193,151.890831875493,811.29696,171.830423685215,151.890831875493,191.770030909579,0
"Na0210290_fdw","Na0210290_fdw_1710030104","D",1.01425438596491,501.907051866591,811.29696,526.71049794773,501.907051866591,551.513944028868,0
"Na0210290_fdw","Na0210290_fdw_1710030104","E",34.8958333333333,37.9263009714643,811.29696,28.7795053908998,19.6327081877414,37.9263009714643,0
"Na0210290_fdw","Na0210290_fdw_1710030105","A",5.86255756287637,93.5217732614691,1255.64217,116.247153707137,93.5217732614691,138.972532897163,0
"Na0210290_fdw","Na0210290_fdw_1710030105","B",47.3432518597237,91.5406963841732,1255.64217,13.7230915771181,5.94819544102758,21.4979877132087,70.0427086709645
"Na0210290_fdw","Na0210290_fdw_1710030105","C",4.19766206163656,235.081040780985,1255.64217,265.941494552282,235.081040780985,296.80197218078,0
"Na0210290_fdw","Na0210290_fdw_1710030105","D",1.23981579879561,776.800223365892,1255.64217,815.188451593444,776.800223365892,853.576679820995,0
"Na0210290_fdw","Na0210290_fdw_1710030105","E",41.3567127169678,58.6984362074801,1255.64217,44.5419647579552,30.3854907971459,58.6984362074801,0
"Na0210290_fdw","Na0210290_fdw_1710030106","A",8.94206549118388,78.950225,882.90815,81.7394970275123,65.7600849890245,97.718908183092,0
"Na0210290_fdw","Na0210290_fdw_1710030106","B",31.6372795969773,51.176945473468,882.90815,9.6494285443073,4.1824895325681,15.1163675560465,36.0605779174215
"Na0210290_fdw","Na0210290_fdw_1710030106","C",0.554156171284635,165.297862539942,882.90815,186.997473144272,165.297862539942,208.697100523857,0
"Na0210290_fdw","Na0210290_fdw_1710030106","D",0.327455919395466,546.209154580693,882.90815,573.201939926669,546.209154580693,600.194725272645,0
"Na0210290_fdw","Na0210290_fdw_1710030106","E",58.5390428211587,41.2739624058973,882.90815,31.3198016452501,21.3656391187866,41.2739624058973,0
"Na0210290_fdw","Na0210290_fdw_1710030107","A",5.36912751677852,227.062782123312,3048.59066,282.238041625476,227.062782123312,337.413298079049,0
"Na0210290_fdw","Na0210290_fdw_1710030107","B",36.4093959731544,222.252898695404,3048.59066,33.3184802230137,14.4417044111948,52.1952560348326,170.057642660571
"Na0210290_fdw","Na0210290_fdw_1710030107","C",1.06507149110009,570.756448286529,3048.59066,645.682962685561,570.756448286529,720.609535007816,0
"Na0210290_fdw","Na0210290_fdw_1710030107","D",1.0723665013131,1886.00380125747,3048.59066,1979.20710138911,1886.00380125747,2072.41040152076,0
"Na0210290_fdw","Na0210290_fdw_1710030107","E",56.0840385176539,142.51472963729,3048.59066,108.14404054234,73.7733453502082,142.51472963729,2.8421709430404e-14
"Na0210290_fdw","Na0210290_fdw_1710030108","A",9.55274043433299,164.349905,1720.44772,159.27877808686,128.141062336296,190.416492116977,0
"Na0210290_fdw","Na0210290_fdw_1710030108","B",21.9493278179938,89.2178004868385,1720.44772,18.8030174354562,8.15006020754328,29.4559746633692,59.7618258234693
"Na0210290_fdw","Na0210290_fdw_1710030108","C",6.78645294725957,322.10182987632,1720.44772,364.386008121936,322.10182987632,406.670219056059,0
"Na0210290_fdw","Na0210290_fdw_1710030108","D",14.7621509824199,1064.35113849779,1720.44772,1116.949674376,1064.35113849779,1169.5482102542,0
"Na0210290_fdw","Na0210290_fdw_1710030108","E",46.9493278179938,80.4270461390482,1720.44772,61.0302230548249,41.6333965297061,80.4270461390482,0
"Na0210290_fdw","Na0210290_fdw_1710030109","A",20.7106598984772,57.0708518255214,438.11815,40.5609091043323,32.6315786973245,48.490239073222,8.58061275229949
"Na0210290_fdw","Na0210290_fdw_1710030109","B",41.4720812182741,7.5010690391465,438.11815,4.7882554741273,2.0754419091081,7.5010690391465,8.88178419700125e-16
"Na0210290_fdw","Na0210290_fdw_1710030109","C",2.13197969543147,82.0243801520618,438.11815,92.7921970010619,82.0243801520618,103.560022174307,0
"Na0210290_fdw","Na0210290_fdw_1710030109","D",1.6243654822335,271.040814741553,438.11815,284.435219560589,271.040814741553,297.829624379625,0
"Na0210290_fdw","Na0210290_fdw_1710030109","E",34.0609137055838,20.4810342417173,438.11815,15.5415640405901,10.6020929632266,20.4810342417173,7.105427357601e-15
"Na0210290_fdw","Na0210290_fdw_1710030110","A",7.88448623237072,130.545865,1655.730775,153.287293544038,123.320864670853,183.253720761491,0
"Na0210290_fdw","Na0210290_fdw_1710030110","B",33.2840832773674,113.483551668758,1655.730775,18.0957167537451,7.84348477832985,28.3479487291602,85.1356029395977
"Na0210290_fdw","Na0210290_fdw_1710030110","C",7.81732706514439,309.985538188883,1655.730775,350.679140443099,309.985538188883,391.3727741562,0
"Na0210290_fdw","Na0210290_fdw_1710030110","D",2.67293485560779,1024.3141450512,1655.730775,1074.93411656273,1024.3141450512,1125.55408807427,0
"Na0210290_fdw","Na0210290_fdw_1710030110","E",48.3411685695097,77.4016750911601,1655.730775,58.7344894833468,40.0673005640721,77.4016750911601,2.8421709430404e-14
"Na0210290_fwo","Na0210290_fwo_1710030111","A",12.9836387033519,2356.05263,18146.320025,1679.98344079594,1351.56023543563,2008.40662800992,347.646001990079
