"strataID","BpS","SCLASS","YEAR","STATE","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2002_Oregon_Na0210350_fvg","Na0210350","C",2002,"Oregon","westside","OCR","fvg","Na0210350_fvg","C",6333.587205,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,0
"2002_Oregon_Na0210350_fvg","Na0210350","C",2002,"Oregon","westside","OWC","fvg","Na0210350_fvg","C",218.83668,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-5396.53834768993
"2002_Oregon_Na0210350_fvg","Na0210350","D",2002,"Oregon","eastside","OEC","fvg","Na0210350_fvg","D",2.891135,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31595.7011026102
"2002_Oregon_Na0210350_fvg","Na0210350","D",2002,"Oregon","eastside","OSW","fvg","Na0210350_fvg","D",4.670295,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31593.9219426102
"2002_Oregon_Na0210350_fvg","Na0210350","D",2002,"Oregon","westside","OCR","fvg","Na0210350_fvg","D",6261.086435,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-25337.5058026102
"2002_Oregon_Na0210350_fvg","Na0210350","D",2002,"Oregon","westside","OWC","fvg","Na0210350_fvg","D",66.496105,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31532.0961326102
"2002_Oregon_Na0210350_fvg","Na0210350","E",2002,"Oregon","eastside","OEC","fvg","Na0210350_fvg","E",444.79,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-21954.5248470834
"2002_Oregon_Na0210350_fvg","Na0210350","E",2002,"Oregon","eastside","OSW","fvg","Na0210350_fvg","E",156.56608,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-22242.7487670834
"2002_Oregon_Na0210350_fvg","Na0210350","E",2002,"Oregon","westside","OCR","fvg","Na0210350_fvg","E",35093.931,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,8050.41068640255
"2002_Oregon_Na0210350_fvg","Na0210350","E",2002,"Oregon","westside","OWC","fvg","Na0210350_fvg","E",598.909735,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-21800.4051120834
"2002_Oregon_Na0710270_fdd","Na0710270","A",2002,"Oregon","eastside","OSW","fdd","Na0710270_fdd","A",92667.326205,1233970.22204,111386.377886831,90406.0040256523,132366.752981979,0
"2002_Oregon_Na0710270_fdd","Na0710270","B",2002,"Oregon","eastside","OEC","fdd","Na0710270_fdd","B",0.44479,1233970.22204,77837.9074908251,58510.556437181,97165.2523746182,-58510.111647181
"2002_Oregon_Na0710270_fdd","Na0710270","B",2002,"Oregon","eastside","OSW","fdd","Na0710270_fdd","B",723972.67367,1233970.22204,77837.9074908251,58510.556437181,97165.2523746182,626807.421295382
"2002_Oregon_Na0710270_fdd","Na0710270","C",2002,"Oregon","eastside","OSW","fdd","Na0710270_fdd","C",81330.74108,1233970.22204,247417.916306829,219233.419450325,275602.413163334,-137902.678370325
"2002_Oregon_Na0710270_fdd","Na0710270","D",2002,"Oregon","eastside","OSW","fdd","Na0710270_fdd","D",31092.0663122585,1233970.22204,521691.102916833,487980.515980996,555401.644195771,-456888.449668738
"2002_Oregon_Na0710270_fdd","Na0710270","E",2002,"Oregon","eastside","OSW","fdd","Na0710270_fdd","E",304906.969982742,1233970.22204,275636.917438683,246366.887106088,304906.969982742,0
"2002_Oregon_Na0710412_fmc","Na0710412","A",2002,"Oregon","eastside","OEC","fmc","Na0710412_fmc","A",661.40273,262693.196395,38749.9721728683,33176.9360113484,44323.0083343882,-32515.5332813484
