"BpS_Code","MAP_ZONE","stratID","SCLASS","AREA_PCT","AREA","AREA_TOTAL","avg","low","high","departure"
"Na0210290_fdw","OSW","Na0210290_fdw OSW","A",7.44056387824944,730.86454155434,9812.734585,908.461417467235,730.86454155434,1086.0582835674,0
"Na0210290_fdw","OSW","Na0210290_fdw OSW","B",36.2600004532783,715.382597690201,9812.734585,107.244769687776,46.4846311449628,168.004908230589,547.377689459612
"Na0210290_fdw","OSW","Na0210290_fdw OSW","C",3.80527162704259,1837.13793170021,9812.734585,2078.30969963343,1837.13793170021,2319.4816540086,0
"Na0210290_fdw","OSW","Na0210290_fdw OSW","D",3.71688235160801,6070.62632936119,9812.734585,6370.62700135627,6070.62632936119,6670.62767335136,0
"Na0210290_fdw","OSW","Na0210290_fdw OSW","E",48.7772816898216,458.723184694057,9812.734585,348.091588915207,237.459973510887,458.723184694057,0
"Na0210290_fwo","OSW","Na0210290_fwo OSW","A",11.2245257359775,25193.336952009,227312.15345,21044.5232510808,16930.4887829047,25158.5574919446,34.7794600643465
"Na0210290_fwo","OSW","Na0210290_fwo OSW","B",59.1992055649588,3891.83638355433,227312.15345,2484.32680338084,1076.81722320735,3891.83638355433,0
"Na0210290_fwo","OSW","Na0210290_fwo OSW","C",20.6651925917954,46974.494295,227312.15345,48144.0773993682,42557.329541738,53730.8295759293,0
"Na0210290_fwo","OSW","Na0210290_fwo OSW","D",2.15906311453757,140626.155916492,227312.15345,147575.676276687,140626.155916492,154525.196636882,0
"Na0210290_fwo","OSW","Na0210290_fwo OSW","E",6.75201299273072,10626.329902945,227312.15345,8063.54721904952,5500.76408052972,10626.329902945,0
"Na0210350_fvg","OEC","Na0210350_fvg OEC","A",14.136500214623,101.650472189965,1554.318655,78.5812032934146,57.9823450727237,99.1800584054683,2.47041378449697
"Na0210350_fvg","OEC","Na0210350_fvg OEC","B",35.8849620832737,186.950081169193,1554.318655,158.274321077375,129.598545442371,186.950081169193,0
"Na0210350_fvg","OEC","Na0210350_fvg OEC","C",9.20017169838317,142.999985,1554.318655,139.783819950578,112.332895599592,167.234730312696,0
"Na0210350_fvg","OEC","Na0210350_fvg OEC","D",9.21447989698097,632.114746640841,1554.318655,683.139188917414,632.114746640841,734.163631193986,0
"Na0210350_fvg","OEC","Na0210350_fvg OEC","E",31.5638861067392,490.60337,1554.318655,494.540137304405,448.087595897386,540.992708243479,0
"Na0210350_fvg","OSW","Na0210350_fvg OSW","A",9.15996425379803,31.7591888269335,497.72001,25.1630752569269,18.5669606914803,31.7591888269335,0
"Na0210350_fvg","OSW","Na0210350_fvg OSW","B",23.4137622877569,59.8646847412583,497.72001,50.6822049751275,41.4997202317965,59.8646847412583,0
"Na0210350_fvg","OSW","Na0210350_fvg OSW","C",6.79177837354781,35.9709572688347,497.72001,44.7612232149654,35.9709572688347,53.5514846816159,0
"Na0210350_fvg","OSW","Na0210350_fvg OSW","D",7.59606791778374,196.889854932196,497.72001,218.753112719584,202.414194159709,235.092031279459,-5.52433922751291
"Na0210350_fvg","OSW","Na0210350_fvg OSW","E",53.0384271671135,173.235324230778,497.72001,158.360398810597,143.485482847095,173.235324230778,0
"Na0710270_fdd","OEC","Na0710270_fdd OEC","A",0,0.03258724223028,0.44479,0.04014971037014,0.03258724223028,0.04771217895479,0
"Na0710270_fdd","OEC","Na0710270_fdd OEC","B",50,0.03502364306025,0.44479,0.02805701649397,0.02109038770374,0.03502364306025,0
"Na0710270_fdd","OEC","Na0710270_fdd OEC","C",50,0.11248035975968,0.44479,0.08918287737299,0.07902365137799,0.09934210336799,0.01313825639169
"Na0710270_fdd","OEC","Na0710270_fdd OEC","D",0,0.17589472568014,0.44479,0.18804585517693,0.17589472568014,0.20019696821649,0
"Na0710270_fdd","OEC","Na0710270_fdd OEC","E",0,0.08880402926965,0.44479,0.09935454058597,0.08880402926965,0.10990505990851,0
"Na0710270_fdd","OSW","Na0710270_fdd OSW","A",8.35938075838608,119050.26745,1424151.75108,128553.430448054,104339.526709506,152767.335610752,0
"Na0710270_fdd","OSW","Na0710270_fdd OSW","B",72.8853800862751,204553.209484585,1424151.75108,89834.4143752508,67528.3000499953,112140.521579748,92412.6879048371
"Na0710270_fdd","OSW","Na0710270_fdd OSW","C",15.3747581087446,253022.03621192,1424151.75108,285550.374282463,253022.03621192,318078.712353006,0
"Na0710270_fdd","OSW","Na0710270_fdd OSW","D",0.421084422390542,563188.879208408,1424151.75108,602094.997489964,563188.879208408,641001.063077905,0
"Na0710270_fdd","OSW","Na0710270_fdd OSW","E",2.95939662420374,284337.358725087,1424151.75108,318118.534484269,284337.358725087,351899.735878183,0
"Na0710412_fmc","OEC","Na0710412_fmc OEC","A",3.47544819517567,816.249679288957,6463.021095,953.362671819382,816.249679288957,1090.47566434981,0
"Na0710412_fmc","OEC","Na0710412_fmc OEC","B",39.0420150717456,1667.2352984754,6463.021095,1466.53952450874,1303.34691047764,1629.73201574244,37.503282732969
"Na0710412_fmc","OEC","Na0710412_fmc OEC","C",2.56013213585217,883.363273779605,6463.021095,1030.39518758193,883.363273779605,1177.42704321706,0
"Na0710412_fmc","OEC","Na0710412_fmc OEC","D",1.84439626991501,226.857152684186,6463.021095,318.390865211963,226.857152684186,409.924584202761,0
"Na0710412_fmc","OEC","Na0710412_fmc OEC","E",53.0780083273115,2869.31569077185,6463.021095,2694.33281356288,2519.35018841174,2869.31569077185,0
"Na0710412_fmc","OSW","Na0710412_fmc OSW","A",9.22628553177898,1407.06940344997,11141.09992,1643.42783825277,1407.06940344997,1879.78627305557,0
