"","BpS_Code","type","REST_ACRES","AREA_TOTAL","REST_PCT"
"102","RaREFI_frm","active",18630.9477378979,88667.55213,0.210121372366095
"103","RaREFI_frm","both",7409.84727263054,88667.55213,0.083568871527733
"104","RaSAWD_fal","active",106555.659309178,641336.696335,0.166146206693152
"105","RaSAWD_fal","passive",124710.99783405,641336.696335,0.194454798153181
"106","RaSAWD_fsw","active",14943.4757035931,63448.84871,0.2355200450034
"107","RaSAWD_fsw","passive",4355.81011231977,63448.84871,0.0686507352123675
"108","RaSPFI_fcd","active",218468.942399063,1426765.559515,0.153121822251812
"109","RaSPFI_fcd","passive",97653.079001829,1426765.559515,0.0684436755222941
"110","RaSPFI_fmz","active",33863.4329176829,242211.951265,0.139809091751354
"111","RaSPFI_fmz","passive",3872.88792355958,242211.951265,0.0159896648506924
"112","RaSSHE_fss","both",70.4872633603754,42053.782525,0.00167612184037125
"113","RaSSHE_fss","passive",22521.8129535329,42053.782525,0.535547853279172
"114","RaTAOAco_ftm","active",333027.270345551,593436.371655,0.561184460967215
"115","RaTAOAco_fto","active",9776.31021317923,27457.998675,0.356045986049245
"116","RaTAOAco_fto","passive",3697.1692622369,27457.998675,0.134648169591585
