"YEAR","BpS_Code","BPS_LLID","type","CHNG_REST_ACRES","CHNG_REST_PCT","CHNG_FOR_ACRES","PREV_REST_ACRES","PREV_REST_PCT","PREV_FOR_ACRES"
2017,"Na0210290_fwo","Na0210290_fwo_1710030111","active",0,0,0,11457.4316696458,0.880348768,13014.6506545072
2017,"Na0210290_fwo","Na0210290_fwo_1710030111","both",0,0,0,61.6526646996145,0.004737174,13014.6506545072
2017,"Na0210290_fwo","Na0210290_fwo_1710030213","passive",-1396.91741972093,-0.834803876,-1673.34802805938,1396.91741972093,0.834803876,1673.34802805938
2017,"Na0210290_fwo","Na0210290_fwo_1710030301","active",0,0,0,8360.38775477045,0.880348768,9496.67683838963
2017,"Na0210290_fwo","Na0210290_fwo_1710030301","both",0,0,0,44.9874106052216,0.004737174,9496.67683838963
2017,"Na0210290_fwo","Na0210290_fwo_1710030707","passive",4035.9214788432,-0.187219772,7100.31422646074,2506.50658437904,0.834803876,3002.50951922873
2017,"Na0210290_fwo","Na0210290_fwo_1710030708","active",12051.3881572098,0.271399808938479,0,1752.0996185607,0.0394576538001617,44404.5565262048
2017,"Na0210290_fwo","Na0210290_fwo_1710030708","both",-12051.3881572098,-0.271399808938479,0,24853.153814879,0.559698277815527,44404.5565262048
2017,"Na0210290_fwo","Na0210290_fwo_1710030708","passive",12051.3881572098,0.271399808938479,0,3692.17902600318,0.0831486521844731,44404.5565262048
2017,"Na0210290_fwo","Na0210290_fwo_1710030801","active",-202.204716334089,0.120575463535994,-7290.9947834217,11926.3268174766,0.400107376760465,29807.8153770621
2017,"Na0210290_fwo","Na0210290_fwo_1710030801","both",-5350.59354620053,-0.179503042357071,-29807.8153770621,5350.59354620053,0.179503042357071,29807.8153770621
2017,"Na0210290_fwo","Na0210290_fwo_1710030801","passive",5294.61361124387,0.271897932377031,-7290.9947834217,3383.74078157932,0.113518576882464,29807.8153770621
2017,"Na0210290_fwo","Na0210290_fwo_1710030802","active",-3758.63769255187,-0.187219772,-8295.72620001336,4390.24415903032,0.261701002,16775.8018711381
2017,"Na0210290_fwo","Na0210290_fwo_1710030802","both",-10378.3123504382,-0.618647766,-16775.8018711381,10378.3123504382,0.618647766,16775.8018711381
2017,"Na0210290_fwo","Na0210290_fwo_1710030802","passive",21492.7047535415,2.55816754869564,-8295.72620001336,405.960380711178,0.024199164,16775.8018711381
2017,"Na0210290_fwo","Na0210290_fwo_1710030903","active",0,0,0,1658.14028330743,0.07448123,22262.5255155887
2017,"Na0210290_fwo","Na0210290_fwo_1710030903","both",0,0,0,10718.4929791804,0.481458986837548,22262.5255155887
2017,"Na0210290_fwo","Na0210290_fwo_1710030903","passive",0,0,0,3592.90320256247,0.161387943162452,22262.5255155887
2017,"Na0210290_fwo","Na0210290_fwo_1710031001","active",0,0,0,3893.5064573263,0.261701002,14877.6902937739
2017,"Na0210290_fwo","Na0210290_fwo_1710031001","both",0,0,0,9204.04986348311,0.618647766,14877.6902937739
2017,"Na0210290_fwo","Na0210290_fwo_1710031001","passive",0,0,0,360.027667360243,0.024199164,14877.6902937739
2017,"Na0210290_fwo","Na0210290_fwo_1801020604","active",8650.01138589442,0.591861996700273,1.81898940354586e-12,2736.20061516582,0.187219772,14614.9126555171
2017,"Na0210290_fwo","Na0210290_fwo_1801020604","both",6864.83794519618,0.46971460637534,1.81898940354586e-12,2176.64511942459,0.14893315962466,14614.9126555171
2017,"Na0210290_fwo","Na0210290_fwo_1801020604","passive",-6864.83794519617,-0.46971460637534,1.81898940354586e-12,7218.50661339271,0.49391377037534,14614.9126555171
2017,"Na0710270_fdd","Na0710270_fdd_1710030103","active",0,0,0,261.522618219856,0.073264332,3569.57623280938
2017,"Na0710270_fdd","Na0710270_fdd_1710030103","passive",0,0,0,2293.54556354911,0.642526007,3569.57623280938
2017,"Na0710270_fdd","Na0710270_fdd_1710030111","both",-315.387811257528,0,-797.530136431342,15514.4651201651,0.395455666,39231.8695976532
2017,"Na0710270_fdd","Na0710270_fdd_1710030111","passive",16.0014707397722,0.0044665580000002,-797.530136431342,7657.56179838501,0.195187277,39231.8695976532
2017,"Na0710270_fdd","Na0710270_fdd_1710030201","active",923.77968296139,0.0618716591636527,-159.149969136322,5384.67794198497,0.33743450760554,15957.6979254287
2017,"Na0710270_fdd","Na0710270_fdd_1710030201","passive",-3661.65731381492,-0.22946024739446,-15957.6979254287,3661.65731381492,0.22946024739446,15957.6979254287
2017,"Na0710270_fdd","Na0710270_fdd_1710030202","active",-5158.85290367561,-0.246041103543527,-250.889722874119,8412.49369069451,0.404329485252587,20806.0356652921
2017,"Na0710270_fdd","Na0710270_fdd_1710030202","both",-5036.21731649213,-0.242055593747413,-20806.0356652921,5036.21731649213,0.242055593747413,20806.0356652921
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","active",5285.44546588976,0.3058272987163,-53.9732952969898,3561.86519784201,0.205027653525033,17372.6087023043
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","both",3038.40296453252,0.176033328467241,-53.9732952969898,3300.52031171775,0.189984150813227,17372.6087023043
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","passive",-584.220742378023,-0.0336288436808303,-17372.6087023043,584.220742378023,0.0336288436808303,17372.6087023043
2017,"Na0710270_fdd","Na0710270_fdd_1710030204","active",112.487201150664,0.0127685810201661,0,5439.33496960057,0.61742659204529,8809.68691611128
2017,"Na0710270_fdd","Na0710270_fdd_1710030205","both",-10136.4077237768,-0.124529548256176,1331.13763431972,14286.3192402766,0.174371435169173,81930.3874308093
2017,"Na0710270_fdd","Na0710270_fdd_1710030205","passive",12297.1423755425,0.144477320789638,1331.13763431972,16479.1879547639,0.201136458297365,81930.3874308093
2017,"Na0710270_fdd","Na0710270_fdd_1710030206","active",-635.068137787292,-0.0733940013333332,0,1691.88663860986,0.195529145333333,8652.8616269742
2017,"Na0710270_fdd","Na0710270_fdd_1710030206","both",394.703089525881,0.0456153243333332,0,2872.54479120335,0.331976277333333,8652.8616269742
2017,"Na0710270_fdd","Na0710270_fdd_1710030206","passive",-340.830442259233,-0.0393893323333332,-8652.8616269742,340.830442259233,0.0393893323333332,8652.8616269742
2017,"Na0710270_fdd","Na0710270_fdd_1710030207","active",-965.975126668423,0,-13184.7940232148,4489.62213777271,0.073264332,61279.7798766897
2017,"Na0710270_fdd","Na0710270_fdd_1710030207","both",-5553.44080527122,-0.00705768590476624,-13184.7940232148,24233.4361634697,0.395455666,61279.7798766897
2017,"Na0710270_fdd","Na0710270_fdd_1710030207","passive",-872.320355988539,-0.0130595155953586,-13184.7940232148,1135.09093292633,0.018523090898995,61279.7798766897
2017,"Na0710270_fdd","Na0710270_fdd_1710030208","active",0,0,0,13215.9437288442,0.646385079,20445.9294594024
2017,"Na0710270_fdd","Na0710270_fdd_1710030208","both",0,0,0,969.474536887331,0.047416506,20445.9294594024
2017,"Na0710270_fdd","Na0710270_fdd_1710030209","active",-13572.5989594076,-0.177665081,-76394.2969716578,13572.5989594076,0.177665081,76394.2969716578
2017,"Na0710270_fdd","Na0710270_fdd_1710030209","both",-9615.77037861473,-0.11192974238508,-3756.18703683063,30210.5575875287,0.395455666,76394.2969716578
2017,"Na0710270_fdd","Na0710270_fdd_1710030209","passive",7055.9854544295,0.0999498779256964,-3756.18703683063,4152.76223510977,0.0543595844157115,76394.2969716578
2017,"Na0710270_fdd","Na0710270_fdd_1710030210","active",12715.8505885349,0.347594225850489,1714.10999419242,6039.2299907958,0.177665081,33992.2170231966
2017,"Na0710270_fdd","Na0710270_fdd_1710030210","both",8176.36752471079,0.220594997091338,1714.10999419242,5943.90180636458,0.174860668908662,33992.2170231966
2017,"Na0710270_fdd","Na0710270_fdd_1710030210","passive",-7156.28438140783,-0.220594997091338,1714.10999419242,14285.1895041937,0.420248832091338,33992.2170231966
2017,"Na0710270_fdd","Na0710270_fdd_1710030211","active",17269.6114682518,0.532681231242119,480.07688875794,2335.23136770643,0.073264332,31874.0552729865
2017,"Na0710270_fdd","Na0710270_fdd_1710030211","both",189.849125774977,0,480.07688875794,12604.7757560997,0.395455666,31874.0552729865
