"YEAR","BpS_Code","MAP_ZONE","type","CHNG_REST_ACRES","CHNG_REST_PCT","CHNG_FOR_ACRES","PREV_REST_ACRES","PREV_REST_PCT","PREV_FOR_ACRES"
2017,"Na0210290_fwo","OSW","active",156.745005603909,0.00444529021089712,-3677.0821617005,26910.0485916086,0.15835915627872,169930.48727947
2017,"Na0210290_fwo","OSW","both",-25413.3809924634,-0.142838621074833,-3677.0821617005,76990.3246028442,0.453069521752297,169930.48727947
2017,"Na0210290_fwo","OSW","passive",22966.6670395209,0.138463977720355,-3677.0821617005,2469.67868485861,0.0145334643853339,169930.48727947
2017,"Na0710270_fdd","OSW","both",1673.91348686954,0.00111494448543392,-366.729184303433,628411.714831841,0.385854172618371,1628624.9039825
2017,"Na0710270_fdd","OSW","passive",-71233.9914708105,-0.043726392447935,-366.729184303433,160475.901432002,0.0985345987523511,1628624.9039825
2017,"Na0710412_fmc","OEC","active",60.7741604554506,-2.77555756156289e-17,353.789816591257,1265.66774366975,0.171780412,7367.9398537579
2017,"Na0710412_fmc","OEC","both",15.1014657116962,0.00150229854789394,353.789816591257,72.9135163139263,0.00989605205269664,7367.9398537579
2017,"Na0710412_fmc","OEC","passive",56.2445592563174,-0.00150229854789394,353.789816591257,1412.92128196789,0.191766125947303,7367.9398537579
2017,"Na0710412_fmc","OSW","active",-57.1943846356853,-0.00610917895613144,677.962034265067,2144.81880355503,0.105296628582997,20369.3017755497
2017,"Na0710412_fmc","OSW","both",-1474.44184469486,-0.0723854877767442,-20369.3017755497,1474.44184469486,0.0723854877767442,20369.3017755497
2017,"Na0710412_fmc","OSW","passive",5508.43493559978,0.258283312490863,677.962034265067,2171.5829034512,0.1066105715051,20369.3017755497
2017,"Na0710412_fmh","OEC","active",2949.79624261156,0.00565205026203058,-5742.46995618776,19476.485738944,0.0346063521557694,562800.888440273
2017,"Na0710412_fmh","OEC","passive",-5105.65268371082,-0.00783040779952142,-5742.46995618776,72883.522579504,0.129501434835135,562800.888440273
2017,"Na0710412_fmh","OSW","active",-32758.4622307883,-0.142628194783944,197.953015749634,40257.8139220435,0.175245339212314,229722.594067225
2017,"Na0710412_fmh","OSW","passive",-14590.0946633792,-0.0635117965763076,-229722.594067225,14590.0946633792,0.0635117965763076,229722.594067225
2017,"Na0710412_fmh","WEC","active",-10234.7753783032,-0.0144422855710302,-708667.290088293,10234.7753783032,0.0144422855710302,708667.290088293
2017,"Na0710412_fmh","WEC","passive",-41749.4106503344,-0.0562245387539087,-10652.1453525421,166575.195674541,0.235054161528729,708667.290088293
2017,"Na0710412_fmi","OEC","active",0,0,0,1699.34246156911,0.18894886542006,8993.66322095255
2017,"Na0710412_fmi","OEC","both",0,0,0,315.684693043042,0.035100791,8993.66322095255
2017,"Na0710412_fmi","OEC","passive",0,0,0,3505.81977022288,0.38980999,8993.66322095255
2017,"Na0710412_fmi","OSW","active",-2887.20154464672,-0.126295376,-3.34517846403469,6010.84223948231,0.262974997,22857.0864456833
2017,"Na0710412_fmi","OSW","both",-0.674595974855947,0,-3.34517846403469,4609.40983537077,0.201662178,22857.0864456833
2017,"Na1010471_frn","WNE","passive",-65785.6607023095,-0.108604181640495,24779.8535368788,241150.857282475,0.363264938671533,663842.919067191
2017,"R1RFWF_fcw","OSW","active",22300.0883980268,0.114948398710893,1479.38146073901,13596.2086729237,0.0709583682416926,191608.248749653
2017,"R1RFWF_fcw","OSW","both",1299.8426380533,0.00629596179167988,1479.38146073901,10901.6662730323,0.0568955999763661,191608.248749653
